archivo,year,month,trimestre,matches_ingreso,matches_peso
junio1957.sav,1957,06,T2,ingsueld,factor_hd
junio1958.sav,1958,06,T2,ingsueld,factor_hd
junio1959.sav,1959,06,T2,ingsueld,factor_hd
junio1960.sav,1960,06,T2,ingsueld,factor_hd
junio1961.sav,1961,06,T2,ingsueld,factor_hd
junio1962.sav,1962,06,T2,ingsueld,factor_hd
junio1963.sav,1963,06,T2,ingsueld,factor_hd
junio1964.sav,1964,06,T2,ingsueld,factor_hd
junio1965.sav,1965,06,T2,ingsueld,factor_hd
junio1966.sav,1966,06,T2,ingsueld,factor_hd
junio1967.sav,1967,06,T2,ingsueld,factor_hd
junio1968.sav,1968,06,T2,ingsueld,factor_hd
junio1969.sav,1969,06,T2,ingsueld,factor_hd
junio1970.sav,1970,06,T2,ingsueld,factor_hd
junio1971.sav,1971,06,T2,ingsueld,factor_hd
junio1972.sav,1972,06,T2,ingsueld,factor_hd
junio1973.sav,1973,06,T2,ingsueld,factor_hd
junio1974.sav,1974,06,T2,ingsueld,factor_hd
junio1975.sav,1975,06,T2,ingsueld,factor_hd
junio1976.sav,1976,06,T2,ingsueld,factor_hd
junio1977.sav,1977,06,T2,ingsueld,factor_hd
junio1978.sav,1978,06,T2,ingsueld,factor_hd
junio1979.sav,1979,06,T2,ingsueld,factor_hd
marzo1980.sav,1980,03,T1,ingsueld,factor_hd | factor
junio1980.sav,1980,06,T2,ingsueld,factor_hd | factor
marzo1981.sav,1981,03,T1,ingsueld,factor_hd | factor
junio1981.sav,1981,06,T2,ingsueld,factor_hd | factor
marzo1982.sav,1982,03,T1,ingsueld,factor_hd | factor
junio1982.sav,1982,06,T2,ingsueld,factor_hd | factor
marzo1983.sav,1983,03,T1,ingsueld,factor_hd | factor
junio1983.sav,1983,06,T2,ingsueld,factor_hd | factor
marzo1984.sav,1984,03,T1,ingsueld,factor_hd | factor
junio1984.sav,1984,06,T2,ingsueld,factor_hd | factor
marzo1985.sav,1985,03,T1,ingsueld,factor_hd | factor
junio1985.sav,1985,06,T2,ingsueld,factor_hd | factor
marzo1986.sav,1986,03,T1,ingsueld,factor_hd | factor
junio1986.sav,1986,06,T2,ingsueld,factor_hd | factor
marzo1987.sav,1987,03,T1,ingsueld,factor_hd | factor
junio1987.sav,1987,06,T2,ingsueld,factor_hd | factor
marzo1988.sav,1988,03,T1,ingsueld,factor_hd | factor
junio1988.sav,1988,06,T2,ingsueld,factor_hd | factor
marzo1989.sav,1989,03,T1,ingsueld,factor_hd | factor
junio1989.sav,1989,06,T2,ingsueld,factor_hd | factor
marzo1990.sav,1990,03,T1,ingsueld,factor_hd | factor
junio1990.sav,1990,06,T2,ingsueld,factor_hd | factor
marzo1991.sav,1991,03,T1,ingsueld,factor_hd | factor
junio1991.sav,1991,06,T2,ingsueld,factor_hd | factor
marzo1992.sav,1992,03,T1,ingsueld,factor_hd | factor
junio1992.sav,1992,06,T2,ingsueld,factor_hd | factor
marzo1993.sav,1993,03,T1,ingsueld,factor_hd | factor
junio1993.sav,1993,06,T2,ingsueld,factor_hd | factor
marzo1994.sav,1994,03,T1,ingsueld,factor_hd | factor
junio1994.sav,1994,06,T2,ingsueld,factor_hd | factor
marzo1995.sav,1995,03,T1,ingsueld,factor_hd | factor
junio1995.sav,1995,06,T2,ingsueld,factor_hd | factor
marzo1996.sav,1996,03,T1,ingsueld,factor_hd | factor
junio1996.sav,1996,06,T2,ingsueld,factor_hd | factor
marzo1997.sav,1997,03,T1,ingsueld,factor_hd | factor
junio1997.sav,1997,06,T2,ingsueld,factor_hd | factor
septiembre1997.sav,1997,09,T3,,factor_hd | factor
diciembre1997.sav,1997,12,T4,,factor_hd | factor
marzo1998.sav,1998,03,T1,ingsueld,factor_hd | factor
junio1998.sav,1998,06,T2,ingsueld,factor_hd | factor
septiembre1998.sav,1998,09,T3,,factor_hd | factor
diciembre1998.sav,1998,12,T4,,factor_hd | factor
marzo1999.sav,1999,03,T1,ingsueld,factor_hd | factor
junio1999.sav,1999,06,T2,ingsueld,factor_hd | factor
septiembre1999.sav,1999,09,T3,,factor_hd | factor
diciembre1999.sav,1999,12,T4,,factor_hd | factor
marzo2000.sav,2000,03,T1,ingsueld,factor_hd | factor
junio2000.sav,2000,06,T2,ingsueld,factor_hd | factor
septiembre2000.sav,2000,09,T3,,factor_hd | factor
