year,trimestre,t_index,ocupados,empleo_indice
2008,1,2008.1,2502.7287604808807,83.92232020681193
2008,2,2008.2,2515.6421842575073,84.35533736083228
2008,3,2008.3,2520.006583929062,84.50168583955289
2008,4,2008.4,2509.7390785217285,84.15739248658329
2009,1,2009.1,2384.736554503441,79.96576692452808
2009,2,2009.2,2396.301051735878,80.35355143202098
2009,3,2009.3,2440.851757287979,81.84744027679713
2009,4,2009.4,2536.664840877056,85.06027596555931
2010,1,2010.1,2488.0293715000153,83.42941548282592
2010,2,2010.2,2538.2695273160934,85.11408483661835
2010,3,2010.3,2550.623125374317,85.52832973135848
2010,4,2010.4,2621.5694967508316,87.90732668467882
2011,1,2011.1,2615.124074816704,87.69119668610881
2011,2,2011.2,2650.6257930397987,88.88165192506891
2011,3,2011.3,2648.6387023329735,88.81502014890067
2011,4,2011.4,2700.5870577692986,90.55696941163535
2012,1,2012.1,2683.709343791008,89.99102038063731
2012,2,2012.2,2728.1477743387222,91.48114438320675
2012,3,2012.3,2741.6608568429947,91.93426949001487
2012,4,2012.4,2814.6523684859276,94.38184475634155
2013,1,2013.1,2723.072318553925,91.3109525380923
2013,2,2013.2,2757.8977966308594,92.47873187106573
2013,3,2013.3,2792.8545110821724,93.6509118651125
2013,4,2013.4,2856.8655595183372,95.7973512989253
2014,1,2014.1,2799.6021687984467,93.87717653288351
2014,2,2014.2,2795.8392124176025,93.75099584750362
2014,3,2014.3,2904.2889776825905,97.38756888355773
2014,4,2014.4,2926.2634293437004,98.12442339124254
2015,1,2015.1,2870.446484684944,96.25275132809897
2015,2,2015.2,2840.3885815143585,95.24483987782156
2015,3,2015.3,2930.2426196336746,98.25785490285985
2015,4,2015.4,2934.6877703666687,98.4069111526111
2016,1,2016.1,2795.3781278133392,93.73553460759123
2016,2,2016.2,2859.2828088998795,95.87840729661102
2016,3,2016.3,2916.6685461997986,97.80268462823143
2016,4,2016.4,2995.909761428833,100.45982700140262
2017,1,2017.1,2890.833861231804,96.93638751343359
2017,2,2017.2,2875.0004332065582,96.40545582091934
2017,3,2017.3,3013.7280608415604,101.05731605114224
2017,4,2017.4,2955.438818335533,99.10274208713687
2018,1,2018.1,2951.6334859132767,98.97514043446213
2018,2,2018.2,2967.913297832012,99.52104041784199
2018,3,2018.3,2981.353097677231,99.97170818653346
2018,4,2018.4,3027.887379527092,101.53211096116243
2019,1,2019.1,2948.6133852005005,98.87386942855987
2019,2,2019.2,2966.259743452072,99.46559289098892
2019,3,2019.3,2946.545578479767,98.80453105658628
2019,4,2019.4,3013.875634908676,101.0622645530775
2020,1,2020.1,2214.364712893963,74.25280255078283
2020,2,2020.2,1897.3588477671144,63.622858091479515
2020,3,2020.3,2424.2792935967445,81.29172699836566
2020,4,2020.4,2860.2865819633007,95.91206614361576
2021,1,2021.1,2634.0765614807606,88.3267176741006
2021,2,2021.2,2592.8656700849533,86.94482057109111
2021,3,2021.3,2889.354026556015,96.88676521257713
2021,4,2021.4,3031.4539073109627,101.65170493851656
2022,1,2022.1,2970.9814599752426,99.62392303536588
2022,2,2022.2,3016.971555054188,101.16607796102205
2022,3,2022.3,3108.3806295394897,104.23123697461403
2022,4,2022.4,3271.05523699522,109.68609517258913
