year,trimestre,t_index,imacec_no_minero_indice
2008,1,2008.1,70.45664851614475
2008,2,2008.2,72.07667624842522
2008,3,2008.3,68.41426648360608
2008,4,2008.4,73.42810391620228
2009,1,2009.1,69.64299937900013
2009,2,2009.2,70.05062951241744
2009,3,2009.3,67.38688807339337
2009,4,2009.4,73.79133574584557
2010,1,2010.1,70.56432221258618
2010,2,2010.2,74.68615778946491
2010,3,2010.3,72.73284632249054
2010,4,2010.4,80.3003444475725
2011,1,2011.1,78.43129907503905
2011,2,2011.2,81.10234153389912
2011,3,2011.3,78.21600365053642
2011,4,2011.4,86.17628523008402
2012,1,2012.1,83.57098447163592
2012,2,2012.2,86.98162775922835
2012,3,2012.3,83.44012196274662
2012,4,2012.4,91.24530801576488
2013,1,2013.1,86.94275387973835
2013,2,2013.2,89.77649587184314
2013,3,2013.3,85.4788739302457
2013,4,2013.4,93.54340941084126
2014,1,2014.1,88.98995333797882
2014,2,2014.2,90.97733471855449
2014,3,2014.3,86.74002077024304
2014,4,2014.4,95.22991704726932
2015,1,2015.1,90.98900705058588
2015,2,2015.2,92.97352876595126
2015,3,2015.3,89.47182128155043
2015,4,2015.4,97.7056132437531
2016,1,2016.1,94.21189309180829
2016,2,2016.2,94.89312154776563
2016,3,2016.3,91.27915730957848
2016,4,2016.4,98.82753935127215
2017,1,2017.1,95.02981428345262
2017,2,2017.2,95.99737938902535
2017,3,2017.3,92.73899071234754
2017,4,2017.4,101.62752296402356
2018,1,2018.1,98.42441788956214
2018,2,2018.2,101.21392067826153
2018,3,2018.3,95.05959289103963
2018,4,2018.4,105.30206854113669
2019,1,2019.1,100.46341125038852
2019,2,2019.2,103.0297559843656
2019,3,2019.3,98.40271295861814
2019,4,2019.4,102.65778324422759
2020,1,2020.1,99.80956052404618
2020,2,2020.2,86.142454997902007
2020,3,2020.3,88.25185272474839
2020,4,2020.4,103.0088136802846
2021,1,2021.1,101.11626560128254
2021,2,2021.2,104.22270284191666
2021,3,2021.3,105.20250836557368
2021,4,2021.4,117.1719417913371
2022,1,2022.1,109.75811461498384
2022,2,2022.2,111.07785360310388
2022,3,2022.3,107.24767860798676
2022,4,2022.4,114.86585200591402
