periodo,var_mensual,year,month,factor,indice_bruto,IPC
1997-01-01,0.5051514302676,1997,1,1.005051514302676,100.50515143026759,48.40738285752158
1997-02-01,0.83491949464,1997,2,1.0083491949464,101.34428853267636,48.81154553384406
1997-03-01,0.3157532153995,1997,3,1.003157532153995,101.66428638234201,48.96566955835336
1997-04-01,0.3280024299199,1997,4,1.003280024299199,101.99774771203684,49.126278144331316
1997-05-01,0.2324314767135,1997,5,1.002324314767135,102.23482258325845,49.240463078076566
1997-06-01,0.2373856645454,1997,6,1.002373856645454,102.47751339624452,49.35735287857969
1997-07-01,0.6048320046427,1997,7,1.006048320046427,103.09733019482701,49.65588194543377
1997-08-01,0.4042116986771,1997,8,1.004042116986771,103.51406166449829,49.856596829338514
1997-09-01,0.9289798322205,1997,9,1.009289798322205,104.47568642087374,50.31975455891454
1997-10-01,1.2247716955302,1997,10,1.012247716955302,105.75527505686748,50.936056670012384
1997-11-01,0.1359624561808,1997,11,1.001359624561808,105.89906252637556,51.00531058374259
1997-12-01,0.1384348972473,1997,12,1.001384348972473,106.04566378476979,51.075919733039854
1998-01-01,0.6959880519416,1998,1,1.006959880519416,106.78372893431394,51.431402031801085
1998-02-01,-0.128703652999,1998,2,0.99871296347001,106.64629437436695,51.36520793859757
1998-03-01,0.3940735462965,1998,3,1.003940735462965,107.06655920860182,51.56762463508377
1998-04-01,0.3947462436061,1998,4,1.003947462436061,107.48920042923606,51.77118589624765
1998-05-01,0.182666941141,1998,5,1.00182666941141,107.68554766371707,51.865754737916745
1998-06-01,0.3410305151909,1998,6,1.003410305151909,108.05278824170077,52.042632788507106
1998-07-01,0.4265709725589,1998,7,1.004265709725589,108.5137100713804,52.26463155333829
1998-08-01,0.33885381013,1998,8,1.0033885381013,108.8814129124707,52.44173224870718
1998-09-01,0.5224890506736,1998,9,1.005224890506736,109.45030637315708,52.715734557690254
1998-10-01,0.7986699940267,1998,10,1.007986699940267,110.32445312852974,53.13675931173327
1998-11-01,0.0970178163553,1998,11,1.000970178163553,110.43148750386096,53.18831143529948
1998-12-01,0.5085113503009,1998,12,1.005085113503009,110.99304415212421,53.45878003598138
1999-01-01,-0.336329564748,1999,1,0.99663670435252,110.61974172982683,53.27898235376678
1999-02-01,0.0790286661713,1999,2,1.000790286661713,110.70716303623807,53.32108802287061
1999-03-01,0.6327618552869,1999,3,1.006327618552869,111.40767573500163,53.65848352870327
1999-04-01,0.376928579297,1999,4,1.00376928579297,111.8276031043774,53.86073768834034
1999-05-01,0.1173484756765,1999,5,1.001173484756765,111.95883109200595,53.92394244300572
1999-06-01,0.1424326938863,1999,6,1.001424326938863,112.11829707117391,54.000747766877
1999-07-01,0.0653507303026,1999,7,1.000653507303026,112.19156719711276,54.03603764991152
1999-08-01,0.2020720198117,1999,8,1.002020720198117,112.41827496300638,54.14522936261691
1999-09-01,0.2243176527007,1999,9,1.002243176527007,112.67044899861001,54.26668667017254
1999-10-01,0.3536617331216,1999,10,1.003536617331216,113.06892126125439,54.458607174757944
1999-11-01,0.1811996344133,1999,11,1.001811996344133,113.27380173321484,54.55728597186518
1999-12-01,0.2600749970387,1999,12,1.002600749970387,113.56839856971813,54.699175831740895
2000-01-01,0.1617301512572,2000,1,1.001617301512572,113.75207291250531,54.78764089155001
2000-02-01,0.5617344161444,2000,2,1.005617344161444,114.39105745513251,55.095401926231446
2000-03-01,0.7298333691422,2000,3,1.007298333691422,115.22592156375471,55.49750655435211
2000-04-01,0.4768286940032,2000,4,1.004768286940032,115.77535182070031,55.76213459005957
2000-05-01,0.2194124027752,2000,5,1.002194124027752,116.02937730195157,55.88448362940236
2000-06-01,0.2320834760687,2000,6,1.002320834760687,116.2986623140548,56.01418228159252
2000-07-01,0.1387671614452,2000,7,1.001387671614452,116.46004666654677,56.091911572351435
2000-08-01,0.2583193297672,2000,8,1.002583193297672,116.76088547854235,56.236807822378744
2000-09-01,0.6052738690912,2000,9,1.006052738690912,117.46760860766348,56.57719452493863
2000-10-01,0.6072748629227,2000,10,1.006072748629227,118.18095986681423,56.92077360543547
2000-11-01,0.3326585710751,2000,11,1.003326585710751,118.57409895919,57.11012543755619
2000-12-01,0.1075051043482,2000,12,1.001075051043482,118.70157216800604,57.17152173750124
2001-01-01,0.3286231488293,2001,1,1.003286231488293,119.09165301217442,57.35940059246863
2001-02-01,-0.305565533563,2001,2,0.99694434466437,118.72774996721877,57.18413003399972
2001-03-01,0.4791050960482,2001,3,1.004791050960482,119.29658066773507,57.458102115123445
2001-04-01,0.4689590048764,2001,4,1.004689590048764,119.85603272528607,57.7275570590234
2001-05-01,0.434402762197,2001,5,1.00434402762197,120.37669064210445,57.97832716143664
2001-06-01,0.0529221441831,2001,6,1.000529221441831,120.44039656788893,58.009010535331974
2001-07-01,-0.196199374632,2001,7,0.99803800625368,120.20409326301842,57.89519721943144
2001-08-01,0.8006211765615,2001,8,1.008006211765615,121.16647268877587,58.35871842858224
2001-09-01,0.7299890963103,2001,9,1.007299890963103,122.05097472778775,58.784730709857335
2001-10-01,0.1300062075251,2001,10,1.001300062075251,122.20964857127876,58.86115450885706
2001-11-01,-0.006900935743,2001,11,0.99993099064257,122.20121496195911,58.85709253840682
2001-12-01,-0.305637066704,2001,12,0.99694362933296,121.82772275307272,58.67720344722517
2002-01-01,-0.085278571821,2002,1,0.99914721428179,121.72382981102685,58.627164366140875
2002-02-01,0.0060218316595,2002,2,1.000060218316595,121.73115981514758,58.63069479528574
2002-03-01,0.5253241144524,2002,3,1.005253241144524,122.37064295245914,58.93869597351637
2002-04-01,0.377908124585,2002,4,1.00377908124585,122.83309155428338,59.161430094124746
2002-05-01,0.0899612244954,2002,5,1.000899612244954,122.94359370753118,59.214652441066406
2002-06-01,-0.12727568368,2002,6,0.9987272431632,122.78711640809917,59.13928658733331
2002-07-01,0.4416594069778,2002,7,1.004416594069778,123.32941725827231,59.400480809765824
2002-08-01,0.384231188954,2002,8,1.00384231188954,123.80328734453383,59.628715983425586
2002-09-01,0.8447887311764,2002,9,1.008447887311764,124.84916356484639,60.132452656598744
2002-10-01,0.8814955928516,2002,10,1.008814955928516,125.94970343938259,60.66251757664024
2002-11-01,-0.084095457062,2002,11,0.99915904542938,125.84378546060702,60.61150315521885
2002-12-01,-0.43785192123,2002,12,0.9956214807877,125.29277602821918,60.34611452416734
2003-01-01,0.089941957142,2003,1,1.00089941957142,125.4054668031365,60.400391000629526
2003-02-01,0.7898131538959,2003,2,1.007898131538959,126.39593567565224,60.877441233757054
