year,trimestre,t_index,n_obs,masa_salarial,suma_pesos,media_pond,media_simple
2008,TNA,NA,15710,44608477069.69217,8678.093453407288,5140354.538608651,5135969.639783577
2009,TNA,NA,15035,31502556000.256775,8316.27884119749,3788059.130989962,3786884.3927502492
2010,TNA,NA,15308,47287088155.60415,8494.101360440254,5567050.138562654,5569199.683433499
2011,TNA,NA,15564,49350029398.84552,8904.465700149536,5542166.26361049,5546797.570868671
2012,TNA,NA,15743,53078434906.723595,9293.071537196636,5711613.721498945,5701606.404560757
2013,TNA,NA,15691,61376800392.6152,9441.203891634941,6500950.630564819,6501317.914345804
2014,TNA,NA,15566,85753768190.43755,9616.595884919167,8917268.565368062,8911999.970769627
2015,TNA,NA,15139,91212286335.43349,9534.761531293392,9566289.207765905,9542167.903626395
2016,TNA,NA,11327,53882636633.03816,7191.585638582706,7492455.675415856,7496649.754833584
2017,TNA,NA,15015,70113739785.20963,9702.426673054695,7226412.746815961,7234634.93000333
2018,TNA,NA,7351,20559255695.394726,4852.527108967304,4236814.186447701,4234067.496259012
2019,TNA,NA,14281,115394914162.35365,9550.643814384937,12082422.547111303,12093683.051186891
2020,TNA,NA,18151,114181143454.81618,9084.363307327032,12568975.897597896,12681279.068811636
2021,TNA,NA,13826,91392880450.78677,6917.01100897789,13212770.708643368,13223773.240922898
2022,TNA,NA,10728,74614122791.79346,7348.29471719265,10153937.16003529,10380825.888982102
