year,trimestre,n_obs,wmean_nom
2008,TNA,15710,5140354.538608651
2009,TNA,15035,3788059.130989962
2010,TNA,15308,5567050.138562654
2011,TNA,15564,5542166.26361049
2012,TNA,15743,5711613.721498945
2013,TNA,15691,6500950.630564819
2014,TNA,15566,8917268.565368062
2015,TNA,15139,9566289.207765905
2016,TNA,11327,7492455.675415856
2017,TNA,15015,7226412.746815961
2018,TNA,7351,4236814.186447701
2019,TNA,14281,12082422.547111303
2020,TNA,18151,12569086.572611583
2021,TNA,13826,13212770.708643368
2022,TNA,10728,10153937.16003529
