year,trimestre,n_obs,masa_salarial_real,suma_pesos,media_pond_real,media_simple_real,var_real,sd_real,t_index,cv_real,media_ajustada_cv
2008,T1,3655,918429123.2320892,2033.675771355629,451610.3973741463,451610.3973741463,275320687688.5719,524710.0987102991,2008.1,1.1618645225202637,-73099.70133615276
2008,T2,3573,888106016.904816,2003.653482913971,443243.31750878296,443243.3175087829,249372613688.95947,499372.21958070464,2008.2,1.1266322578474282,-56128.90207192167
2008,T3,3802,970596527.6721252,2122.052055835724,457385.82378455217,457385.8237845522,321197292465.1887,566742.7039364412,2008.3,1.2390911009157133,-109356.88015188901
2008,T4,3924,901735096.4555124,2100.728699684143,429248.71573901654,429248.7157390165,231620033722.0095,481269.1904973862,2008.4,1.1211895874139275,-52020.47475836966
2009,T1,3648,877743808.1538365,2001.2695999145508,438593.4849514098,438593.48495140986,263190276358.6536,513020.7367725535,2009.1,1.169695297296514,-74427.25182114363
2009,T2,3642,900573153.1625668,1996.643429517746,451043.55632496905,451043.55632496905,244726140656.84595,494698.0297685104,2009.2,1.0967854940645445,-43654.47344354134
2009,T3,3634,955518730.444647,2010.4386414289472,475278.7330855811,475278.7330855811,287443712435.14343,536137.7737439729,2009.3,1.12804915604636,-60859.040658391816
2009,T4,3586,953255885.2904884,2017.4052160978315,472515.8226438637,472515.8226438637,305150794275.5604,552404.5567114381,2009.4,1.1690710241629025,-79888.73406757445
2010,T1,3638,926585284.0453883,2013.6709351539612,460147.3199366329,460147.3199366329,237427963304.33905,487265.8035449841,2010.1,1.0589343508772053,-27118.483608351184
2010,T2,3616,851396732.4978298,2001.3917598724363,425402.33729756915,425402.33729756915,167551027976.70386,409329.9744420189,2010.2,0.9622184425274851,16072.36285555027
2010,T3,3531,813208700.1198051,1942.2579805254936,418692.4230836652,418692.42308366514,160322854285.26004,400403.3644779474,2010.3,0.9563186301031696,18289.05860571777
2010,T4,3719,923447141.4094307,2090.8464418649673,441661.86617977824,441661.86617977824,219570638026.76193,468583.6510451063,2010.4,1.0609556471293122,-26921.78486532808
2011,T1,3543,960540883.889276,2043.0837038755417,470142.6975640883,470142.6975640882,276794791779.4175,526112.9078243732,2011.1,1.1190494089353695,-55970.210260284905
2011,T2,3668,977384011.334954,2066.4177277088165,472984.72047984647,472984.72047984647,273223107278.46533,522707.4777334502,2011.2,1.1051255042724417,-49722.75725360375
2011,T3,3785,988248480.2944536,2153.6192241311073,458877.99905443785,458877.9990544379,225212267733.91345,474565.34611569927,2011.3,1.0341863133416436,-15687.347061261435
2011,T4,3761,1011342387.3230108,2180.0617995858192,463905.37530410907,463905.3753041091,272317058820.33633,521840.0701559208,2011.4,1.1248847242044417,-57934.6948518117
2012,T1,3826,1057723866.6909204,2222.964267015457,475816.85517195304,475816.855171953,287392027557.61694,536089.5704615199,2012.1,1.1266720895538374,-60272.71528956689
2012,T2,3694,1074443564.1570976,2169.5969598293304,495227.2629666746,495227.2629666746,284343482916.89154,533238.6735007989,2012.2,1.0767554885940966,-38011.41053412429
2012,T3,3751,1142059761.616328,2234.6740273833275,511063.2457448898,511063.2457448898,344968969089.70856,587340.5903644908,2012.3,1.1492522603702884,-76277.34461960096
2012,T4,3633,1130059777.952396,2169.6651930212975,520845.23528663313,520845.2352866331,390692984955.9382,625054.3855985159,2012.4,1.2000769964892433,-104209.15031188278
2013,T1,3518,1091081630.273796,2102.670855283737,518902.7219985717,518902.72199857165,338926841825.49286,582174.2366555677,2013.1,1.1219332872514207,-63271.514656995954
2013,T2,3566,1249914533.4649594,2170.528259277344,575857.2956249398,575857.2956249398,420483798586.97473,648447.2211267273,2013.2,1.1260554065274286,-72589.92550178744
2013,T3,3775,1286437161.1528375,2254.2283043265343,570677.4059591844,570677.4059591844,405345504174.08154,636667.4989145288,2013.3,1.1156346690201084,-65990.09295534434
2013,T4,3882,1327104598.6820838,2342.207413315773,566604.2175160537,566604.2175160537,367375785984.66943,606115.3239975619,2013.4,1.069733166926857,-39511.10648150819
2014,T1,3617,1268504287.9666595,2213.3685343265533,573110.2924315397,573110.2924315397,419359894608.5785,647580.0295010483,2014.1,1.1299396260247834,-74469.73706950851
2014,T2,3540,1222456659.7169058,2166.652979850769,564214.3301605706,564214.3301605706,402440801292.9395,634382.2201897997,2014.2,1.1243638920146888,-70167.89002922917
2014,T3,3565,1222926230.5786064,2218.510864675045,551237.4314009653,551237.4314009653,318631274468.747,564474.3346413077,2014.3,1.0240130703872938,-13236.903240342435
2014,T4,3528,1303408785.6993358,2204.539265155792,591238.6348932757,591238.6348932757,437492176296.5667,661431.9135758168,2014.4,1.1187224151804824,-70193.27868254115
2015,T1,3454,1313178705.448374,2195.90745472908,598011.8618479699,598011.8618479699,523538420291.95013,723559.5485459025,2015.1,1.2099418000003652,-125547.68669793254
2015,T2,3084,1156164858.6655931,1978.2652180194857,584433.6988460388,584433.6988460387,437143237738.0944,661168.0858436032,2015.2,1.1312969925400882,-76734.3869975645
2015,T3,3593,1252818945.6306612,2229.6403499245644,561892.838758972,561892.838758972,370866267895.25726,608987.9045557943,2015.3,1.0838150311736292,-47095.06579682225
2015,T4,3632,1352215928.417875,2262.051354408264,597783.0369689395,597783.0369689395,479976676535.92865,692803.4905627487,2015.4,1.1589547506660791,-95020.45359380933
2016,T1,3489,1236562974.7732534,2195.649321913719,563187.8289632654,563187.8289632654,383291523005.7139,619105.4215605884,2016.1,1.0992876438758592,-55917.592597323
2016,T2,3533,1313249971.6536756,2249.8543794751167,583704.4315552779,583704.4315552779,376630719899.618,613702.4685461335,2016.2,1.0513925119789238,-29998.03699085553
2016,T3,3513,1352854163.6355646,2243.542063236237,602999.2420485829,602999.242048583,502152167646.9956,708626.9594412815,2016.3,1.175170564118534,-105627.71739269864
2016,T4,3597,1386032784.6976695,2256.3415853977203,614283.2245204382,614283.2245204382,462024419502.37744,679723.7817690193,2016.4,1.1065315714907722,-65440.55724858113
2017,T1,3492,1397858187.8570888,2208.926005125046,632822.5502410874,632822.5502410874,514533077526.0669,717309.6106466628,2017.1,1.1335082960829828,-84487.06040557534
2017,T2,3406,1488729649.972782,2252.645842075348,660880.4731600531,660880.4731600531,561668667527.8114,749445.5734259903,2017.2,1.1340107687589194,-88565.1002659371
2017,T3,3570,1457049715.6824837,2329.2940413951874,625532.7536105094,625532.7536105094,493493506407.32825,702490.9297687254,2017.3,1.1230282118946153,-76958.17615821595
2017,T4,3539,1447843072.3567672,2260.9809723496437,640360.5736018857,640360.5736018857,513115245042.1064,716320.6300548005,2017.4,1.1186207577172598,-75960.05645291478
2018,T1,3599,1587080824.8051417,2347.0899062752724,676190.895185506,676190.895185506,615682752157.1144,784654.543195357,2018.1,1.160403887100691,-108463.64800985107
2018,T2,3488,1594441849.2108965,2331.024900436402,684008.9305405506,684008.9305405505,497276832732.7926,705178.5821568836,2018.2,1.030949378979019,-21169.65161633295
2018,T3,3470,1514368952.0074184,2285.2430415153503,662673.0393644418,662673.0393644418,485409419030.6536,696713.2975842026,2018.3,1.051368104929104,-34040.258219760864
2018,T4,3510,1546202162.0739698,2268.491932153702,681599.1452991453,681599.1452991453,535791090053.4158,731977.5201831104,2018.4,1.0739120276652558,-50378.37488396516
2019,T1,3125,1345030655.904372,2073.45113158226,648691.7561823474,648691.7561823474,406670217075.0915,637706.99939321,2019.1,0.9830662919877626,10984.756789137347
2019,T2,3156,1471391228.146243,2168.0212483406067,678679.3391773439,678679.3391773439,480808620673.6975,693403.6491638168,2019.2,1.021695532980746,-14724.309986472967
2019,T3,3161,1392260064.223523,2097.2822728157043,663840.0954747713,663840.0954747713,497498765398.7564,705335.923797134,2019.3,1.062508770719378,-41495.828322362555
2019,T4,3198,1428039750.0503817,2115.5343021154404,675025.5709030126,675025.5709030126,527279926274.0541,726140.4315103616,2019.4,1.0757228508232217,-51114.860607348906
2020,T1,3724,1415034127.3870068,2086.085047006607,678320.4402032824,678320.4402032824,514878283035.3001,717550.1954813336,2020.1,1.057833662312011,-39229.75527805131
2020,T2,1572,1078629042.2413683,1572,686150.790229878,686150.790229878,613620232469.7673,783339.15545552,2020.2,1.1416428671503553,-97188.36522564196
2020,T3,1671,1144480190.372283,1671,684907.3551001095,684907.3551001096,649282140003.9373,805780.4539723815,2020.3,1.1764809473459439,-120873.09887227211
2020,T4,4321,1543999185.3988905,2114.507839292288,730193.1715304763,730193.1715304763,669312810752.4465,818115.4018550479,2020.4,1.12040954880513,-87922.23032457154
2021,T1,1548,1163622932.511129,1548,751694.4008469824,751694.4008469824,696405098988.5906,834508.8968900156,2021.1,1.110170430895482,-82814.49604303327
2021,T2,1596,1117480443.1106277,1596,700175.7162347292,700175.7162347292,552895822430.068,743569.6486746,2021.2,1.0619757747001373,-43393.93243987082
2021,T3,1661,1127333431.1805484,1661,678707.664768542,678707.6647685422,544151166781.98584,737666.0265879037,2021.3,1.0868685663649726,-58958.3618193617
2021,T4,1867,1247762027.9212162,1867,668324.5998506782,668324.5998506782,490874905285.19275,700624.6536378753,2021.4,1.0483298890904418,-32300.05378719716
2022,T1,1729,1064132613.1582304,1729,615461.3147242513,615461.3147242513,412384681291.6249,642171.8471652466,2022.1,1.043399206094639,-26710.532440995317
2022,T2,1562,938728711.624534,1562,600978.6886200602,600978.6886200602,369388757995.54193,607773.6075180806,2022.2,1.011306422385164,-6794.918898020351
2022,T3,2159,1324925232.410674,2159,613675.420292114,613675.420292114,337459793116.2104,580912.8963245784,2022.3,0.9466126181949077,32762.523967535566
2022,T4,2198,1222678702.137651,2198,556268.7452855555,556268.7452855555,252324545615.70844,502319.1670797646,2022.4,0.9030152625632484,53949.578205790865
