year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,p99_5,t_index,variante
2008,T1,3655,665128977.8554108,2033.675771355629,327057.5316005472,327057.5316005472,3000000,2008.1,winsor_p99_5
2008,T2,3573,662641180.4421902,2003.653482913971,330716.45675902604,330716.45675902604,3000000,2008.2,winsor_p99_5
2008,T3,3802,747076518.7432258,2122.052055835724,352053.8135192004,352053.8135192004,3000000,2008.3,winsor_p99_5
2008,T4,3924,691104419.5458269,2100.728699684143,328983.18552497454,328983.18552497454,3000000,2008.4,winsor_p99_5
2009,T1,3648,667762661.8786812,2001.2695999145508,333669.51754385966,333669.51754385966,3000000,2009.1,winsor_p99_5
2009,T2,3642,684716519.2970709,1996.643429517746,342933.8003844042,342933.8003844042,3000000,2009.2,winsor_p99_5
2009,T3,3634,727767170.3625321,2010.4386414289474,361994.22124380845,361994.22124380845,3000000,2009.3,winsor_p99_5
2009,T4,3586,720510174.5822847,2017.4052160978317,357146.97713329614,357146.97713329614,3000000,2009.4,winsor_p99_5
2010,T1,3638,706552771.1593359,2013.6709351539612,350877.9705882353,350877.9705882353,2500000,2010.1,winsor_p99_5
2010,T2,3616,654568901.4256954,2001.3917598724365,327056.85840707965,327056.85840707965,2500000,2010.2,winsor_p99_5
2010,T3,3531,631120971.5842366,1942.2579805254936,324941.88615123194,324941.88615123194,2500000,2010.3,winsor_p99_5
2010,T4,3719,718729504.4733405,2090.8464418649673,343750.4974455499,343750.4974455499,2500000,2010.4,winsor_p99_5
2011,T1,3543,757093989.3066287,2043.0837038755417,370564.3522438611,370564.3522438611,3100000,2011.1,winsor_p99_5
2011,T2,3668,777233677.6252866,2066.4177277088165,376126.1177753544,376126.1177753544,3100000,2011.2,winsor_p99_5
2011,T3,3785,792064223.3203232,2153.6192241311073,367782.8533685601,367782.8533685601,3100000,2011.3,winsor_p99_5
2011,T4,3761,822070525.2349377,2180.0617995858192,377085.8814145174,377085.8814145174,3100000,2011.4,winsor_p99_5
2012,T1,3826,865280556.8206289,2222.964267015457,389246.2733925773,389246.2733925773,3748500.000000058,2012.1,winsor_p99_5
2012,T2,3694,877068568.3190275,2169.5969598293304,404254.1469951273,404254.1469951274,3748500.000000058,2012.2,winsor_p99_5
2012,T3,3751,941382498.2817477,2234.6740273833275,421261.6635563852,421261.6635563852,3748500.000000058,2012.3,winsor_p99_5
2012,T4,3633,932228869.6798576,2169.6651930212975,429664.8499862379,429664.8499862378,3748500.000000058,2012.4,winsor_p99_5
2013,T1,3518,906196536.1262517,2102.670855283737,430974.0318362706,430974.0318362706,4000000,2013.1,winsor_p99_5
2013,T2,3566,1039619064.6514893,2170.5282592773438,478970.52720134606,478970.52720134606,4000000,2013.2,winsor_p99_5
2013,T3,3775,1081140016.8303907,2254.2283043265343,479605.3774834437,479605.3774834437,4000000,2013.3,winsor_p99_5
2013,T4,3882,1127779808.0445826,2342.207413315773,481502.9623905204,481502.9623905204,4000000,2013.4,winsor_p99_5
2014,T1,3617,1094252429.040503,2213.3685343265533,494383.2949958529,494383.2949958529,4200000,2014.1,winsor_p99_5
2014,T2,3540,1065212291.7356491,2166.652979850769,491639.54802259884,491639.54802259884,4200000,2014.2,winsor_p99_5
2014,T3,3565,1080531721.8657434,2218.510864675045,487052.70687237027,487052.70687237027,4200000,2014.3,winsor_p99_5
2014,T4,3528,1159108307.4022613,2204.5392651557922,525782.5640589569,525782.5640589569,4200000,2014.4,winsor_p99_5
2015,T1,3454,1180186456.2699795,2195.90745472908,537448.1760277939,537448.1760277939,5000000,2015.1,winsor_p99_5
2015,T2,3084,1051965622.271955,1978.2652180194855,531761.6731517509,531761.6731517509,5000000,2015.2,winsor_p99_5
2015,T3,3593,1158359286.0759497,2229.6403499245644,519527.4144169218,519527.4144169218,5000000,2015.3,winsor_p99_5
2015,T4,3632,1255164142.0218782,2262.051354408264,554878.7120044053,554878.7120044053,5000000,2015.4,winsor_p99_5
2016,T1,3489,1160806883.7816715,2195.649321913719,528685.0100315276,528685.0100315276,5000000,2016.1,winsor_p99_5
2016,T2,3533,1245165444.7479844,2249.8543794751167,553442.6832720068,553442.6832720068,5000000,2016.2,winsor_p99_5
2016,T3,3513,1289578502.4475932,2243.5420632362366,574795.7765442642,574795.7765442642,5000000,2016.3,winsor_p99_5
2016,T4,3597,1321403083.1484318,2256.3415853977203,585639.644147901,585639.644147901,5000000,2016.4,winsor_p99_5
2017,T1,3492,1348216318.5147839,2208.926005125046,610349.244558992,610349.244558992,5000000,2017.1,winsor_p99_5
2017,T2,3406,1435506534.4245632,2252.645842075348,637253.5387551379,637253.5387551379,5000000,2017.2,winsor_p99_5
2017,T3,3570,1409059925.366642,2329.2940413951874,604930.0347338936,604930.0347338936,5000000,2017.3,winsor_p99_5
2017,T4,3539,1411659111.0404885,2260.9809723496437,624356.9177733823,624356.9177733823,5000000,2017.4,winsor_p99_5
2018,T1,3599,1558424967.557045,2347.0899062752724,663981.7943873297,663981.7943873298,5000000,2018.1,winsor_p99_5
2018,T2,3488,1576619557.4411383,2331.0249004364014,676363.2413990826,676363.2413990826,5000000,2018.2,winsor_p99_5
2018,T3,3470,1510444748.7292202,2285.2430415153503,660955.8463976945,660955.8463976945,5000000,2018.3,winsor_p99_5
2018,T4,3510,1546202162.0739698,2268.491932153702,681599.1452991453,681599.1452991453,5000000,2018.4,winsor_p99_5
2019,T1,3125,1353544917.6707268,2073.45113158226,652798.08,652798.08,4800000,2019.1,winsor_p99_5
2019,T2,3156,1494266054.3802977,2168.0212483406067,689230.3548795944,689230.3548795944,4800000,2019.2,winsor_p99_5
2019,T3,3161,1419890809.517036,2097.2822728157043,677014.6431509017,677014.6431509017,4800000,2019.3,winsor_p99_5
2019,T4,3198,1470898988.0857725,2115.5343021154404,695284.8680425265,695284.8680425265,4800000,2019.4,winsor_p99_5
2020,T1,3724,1477194714.1422312,2086.085047006607,708118.16433942,708118.16433942,5200000,2020.1,winsor_p99_5
2020,T2,1572,1124185232,1572,715130.5547073791,715130.5547073791,5200000,2020.2,winsor_p99_5
2020,T3,1671,1203186392,1671,720039.7318970676,720039.7318970676,5200000,2020.3,winsor_p99_5
2020,T4,4321,1637617387.4018612,2114.507839292288,774467.399444573,774467.399444573,5200000,2020.4,winsor_p99_5
2021,T1,1548,1249821552.9999988,1548,807378.2642118855,807378.2642118855,5428999.999999905,2021.1,winsor_p99_5
2021,T2,1596,1208985440.9999993,1596,757509.6748120296,757509.6748120297,5428999.999999905,2021.2,winsor_p99_5
2021,T3,1661,1248464141.9999995,1661,751634.040939193,751634.0409391929,5428999.999999905,2021.3,winsor_p99_5
2021,T4,1867,1418344999.9999993,1867,759692.0192822707,759692.0192822706,5428999.999999905,2021.4,winsor_p99_5
2022,T1,1729,1250449499,1729,723221.2255639097,723221.2255639097,5000000,2022.1,winsor_p99_5
2022,T2,1562,1142479130,1562,731420.6978233034,731420.6978233034,5000000,2022.2,winsor_p99_5
2022,T3,2159,1668765000,2159,772934.2288096341,772934.2288096341,5000000,2022.3,winsor_p99_5
2022,T4,2198,1567476088,2198,713137.4376706097,713137.4376706097,5000000,2022.4,winsor_p99_5
