year,month,trimestre,file,ok,motivo,wage_var,weight_var,n_total,n_pos,na_rate,mean_raw,mean_adj,wmean_adj,p10,p50,p90,t_index,ajuste_unidad,wmean_corr,ipc_trimestre,deflator,salario_real,var_nominal,var_real
2008,3,T1,marzo2008.sav,TRUE,NA,ingsueld,factor_hd,10698,3710,0.6532062067676201,6444122.655256065,6444122.655256065,6444122.655256066,126000,220000,1200000,2008.1,1,6444122.655256066,71.93097165247286,0.7193097165247286,8958759.359445589,NA,NA
2008,6,T2,junio2008.sav,TRUE,NA,ingsueld,factor_hd,10628,3718,0.650169363944298,6132369.468531469,6132369.468531469,6132369.468531469,120000,220000,1065000.000000009,2008.2,1,6132369.468531469,73.60463822818078,0.7360463822818077,8331498.688330742,-4.837791013650539,-7.001646611408308
2008,9,T3,septiembre2008.sav,TRUE,NA,ingsueld,factor_hd,10689,3843,0.6404715127701375,3766668.870153526,3766668.870153526,3766668.870153526,130000,240000,850000,2008.3,1,3766668.870153526,76.19681858371342,0.7619681858371342,4943341.389004694,-38.57726789812066,-40.66684069783947
2008,12,T4,diciembre2008.sav,TRUE,NA,ingsueld,factor_hd,11169,3977,0.6439251499686633,4903930.057329645,4903930.057329645,4903930.057329645,130000,240000,900000,2008.4,1,4903930.057329645,77.2829371686789,0.772829371686789,6345424.018533682,30.19275721812429,28.363054848843582
2009,3,T1,marzo2009.sav,TRUE,NA,ingsueld,factor_hd,10924,3657,0.6652325155620652,4029375.516817063,4029375.516817063,4029375.516817063,140000,220000,870000.0000000045,2009.1,1,4029375.516817063,75.97143256631625,0.7597143256631625,5303803.522856805,-17.83374824454178,-16.415301682511963
2009,6,T2,junio2009.sav,TRUE,NA,ingsueld,factor_hd,10956,3689,0.6632895217232566,3733820.757928978,3733820.757928978,3733820.757928978,140000,238000,900000,2009.2,1,3733820.757928978,75.91945740839756,0.7591945740839756,4918134.145563552,-7.3350016064413275,-7.271562297343892
2009,9,T3,septiembre2009.sav,TRUE,NA,ingsueld,factor_hd,10881,3698,0.6601415311092731,3602862.8666846943,3602862.8666846943,3602862.8666846943,140000,250000,900000,2009.3,1,3602862.8666846943,75.76159390687141,0.7576159390687142,4755526.752926356,-3.5073427391014267,-3.3062821758100602
2009,12,T4,diciembre2009.sav,TRUE,NA,ingsueld,factor_hd,10726,3591,0.6652060413947418,4205772.465329992,4205772.465329992,4205772.465329992,150000,250000,900000,2009.4,1,4205772.465329992,75.85419614242953,0.7585419614242953,5544548.198009927,16.73418114856218,16.591672932930912
2010,3,T1,marzo2010.sav,TRUE,NA,ingsueld,factor_hd,10984,3578,0.6742534595775673,3381384.5581330354,3381384.5581330354,3381384.5581330354,150000,250000,850000,2010.1,1,3381384.5581330354,76.13952693293992,0.7613952693293992,4441036.993979748,-19.60134348666609,-19.9026352485538
2010,6,T2,junio2010.sav,TRUE,NA,ingsueld,factor_hd,10974,3725,0.6605613267723711,6467258.354630873,6467258.354630873,6467258.354630873,150000,250000,1000000,2010.2,1,6467258.354630873,76.78970226528884,0.7678970226528884,8422038.585705338,91.26065797738312,89.64126164952508
2010,9,T3,septiembre2010.sav,TRUE,NA,ingsueld,factor_hd,11058,3670,0.6681135829263881,7345986.251226158,7345986.251226158,7345986.251226158,150000,250000,1000000,2010.3,1,7345986.251226158,77.42799130180778,0.7742799130180777,9487507.2021333,13.587332504910265,12.650958619880615
2010,12,T4,diciembre2010.sav,TRUE,NA,ingsueld,factor_hd,10836,3752,0.6537467700258398,5891366.708955224,5891366.708955224,5891366.708955224,148000,250000,1000000,2010.4,1,5891366.708955224,77.75182675092067,0.7775182675092067,7577142.499594664,-19.80155546885397,-20.1355810524084
2011,3,T1,marzo2011.sav,TRUE,NA,ingsueld,factor_hd,10612,3596,0.661138333961553,6513406.362347052,6513406.362347052,6513406.3623470515,150000,260000,1500000,2011.1,1,6513406.3623470515,78.36092612225225,0.7836092612225225,8312058.936344592,10.558494898073324,9.699123868783532
2011,6,T2,junio2011.sav,TRUE,NA,ingsueld,factor_hd,10847,3815,0.6482898497280354,7026194.0618610745,7026194.0618610745,7026194.0618610745,154800.00000000023,270000,1400000,2011.2,1,7026194.0618610745,79.32662992626858,0.7932662992626858,8857295.549289923,7.872803737202183,6.55958550247131
2011,9,T3,septiembre2011.sav,TRUE,NA,ingsueld,factor_hd,10840,3814,0.6481549815498155,4539878.851861563,4539878.851861563,4539878.851861563,170000,280000,900000,2011.3,1,4539878.851861563,79.8409958257215,0.7984099582572151,5686150.084815199,-35.386372595307236,-35.80263802678404
2011,12,T4,diciembre2011.sav,TRUE,NA,ingsueld,factor_hd,10589,3769,0.6440645953347814,4984908.417882727,4984908.417882727,4984908.417882727,170000,280000,1000000,2011.4,1,4984908.417882727,80.87177048934181,0.8087177048934181,6163965.976903764,9.80267492906075,8.403153011464948
2012,3,T1,marzo2012.sav,TRUE,NA,ingsueld,factor_hd,10586,3786,0.6423578310976762,3812654.282356049,3812654.282356049,3812654.282356049,169000,290000,1000000,2012.1,1,3812654.282356049,81.61171574723825,0.8161171574723824,4671699.703219473,-23.516061625552943,-24.20951509589405
2012,6,T2,junio2012.sav,TRUE,NA,ingsueld,factor_hd,10499,3828,0.6353938470330507,6949144.871473354,6949144.871473354,6949144.871473353,178500.00000000023,300000,1465000.000000009,2012.2,1,6949144.871473353,81.7832991991354,0.817832991991354,8497021.934212724,82.26527654584758,81.88287933740803
2012,9,T3,septiembre2012.sav,TRUE,NA,ingsueld,factor_hd,10369,3807,0.6328479120455204,5555300.185185186,5555300.185185186,5555300.185185186,180000,300000,1300000,2012.3,1,5555300.185185186,81.94919059540527,0.8194919059540527,6778956.747251461,-20.05778713881735,-20.219615769656674
2012,12,T4,diciembre2012.sav,TRUE,NA,ingsueld,factor_hd,10354,3796,0.6333784044813598,7264311.417544784,7264311.417544784,7264311.417544784,180000,300000,1600000,2012.4,1,7264311.417544784,82.63280751928795,0.8263280751928795,8791074.193926143,30.763616283367924,29.681815678946432
