archivo,year_final,n_obs,meses_orig,meses_norm,tris_final
base_web_diciembre2020.sav,2020,15282,,,
base_web_diciembre2021s.sav,2021,14632,,,
base_web_junio2021s.sav,2021,15239,,,
base_web_marzo2021.dta,2021,15240,,,
base_web_marzo2022.sav,2022,12630,,,
base_web_septiembre2020.sav,2020,15179,,,
base_web_septiembre2021.sav,2021,14861,,,
base_web_septiembre2022.sav,2022,10441,,,
diciembre2008.sav,2008,11169,,,
diciembre2009.sav,2009,10726,,,
diciembre2010.sav,2010,10836,,,
diciembre2011.sav,2011,10589,,,
diciembre2012.sav,2012,10354,,,
diciembre2013.sav,2013,11501,,,
diciembre2014.sav,2014,11339,,,
diciembre2015.sav,2015,11258,,,
diciembre2016.dta,2016,11393,,,
diciembre2017.sav,2017,11205,,,
diciembre2018.sav,2018,11161,,,
diciembre2019.sav,2019,10940,,,
diciembre2022.sav,2022,10746,,,
junio1957.sav,1957,10756,,,
junio1958.sav,1958,10556,,,
junio1959.sav,1959,10691,,,
junio1960.sav,1960,10197,,,
junio1961.sav,1961,11312,,,
junio1962.sav,1962,12360,,,
junio1963.sav,1963,13518,,,
junio1964.sav,1964,14855,,,
junio1965.sav,1965,14759,,,
junio1966.sav,1966,14980,,,
junio1967.sav,1967,15944,,,
junio1968.sav,1968,14834,,,
junio1969.sav,1969,14167,,,
junio1970.sav,1970,14536,,,
junio1971.sav,1971,15976,,,
junio1972.sav,1972,14659,,,
junio1973.sav,1973,14977,,,
junio1974.sav,1974,12831,,,
junio1975.sav,1975,14539,,,
junio1976.sav,1976,13824,,,
junio1977.sav,1977,14230,,,
junio1978.sav,1978,14643,,,
junio1979.sav,1979,14627,,,
junio1980.sav,1980,12699,,,
junio1981.sav,1981,12833,,,
junio1982.sav,1982,12801,,,
junio1983.sav,1983,12473,,,
junio1984.sav,1984,12520,,,
junio1985.sav,1985,12625,,,
junio1986.sav,1986,12381,,,
junio1987.sav,1987,12273,,,
junio1988.sav,1988,12115,,,
junio1989.sav,1989,11806,,,
junio1990.sav,1990,11716,,,
junio1991.sav,1991,11939,,,
junio1992.sav,1992,11507,,,
junio1993.sav,1993,11287,,,
junio1994.sav,1994,11456,,,
junio1995.sav,1995,11184,,,
junio1996.sav,1996,11235,,,
junio1997.sav,1997,11220,,,
junio1998.sav,1998,11268,,,
junio1999.sav,1999,11297,,,
junio2000.sav,2000,11538,,,
junio2001.sav,2001,11406,,,
junio2002.sav,2002,11347,,,
junio2003.sav,2003,11184,,,
junio2004.sav,2004,11007,,,
junio2005.sav,2005,11158,,,
junio2006.sav,2006,11171,,,
junio2007.sav,2007,10939,,,
junio2008.sav,2008,10628,,,
junio2009.sav,2009,10956,,,
junio2010.sav,2010,10974,,,
junio2011.sav,2011,10847,,,
junio2012.sav,2012,10499,,,
junio2013.sav,2013,10195,,,
junio2014.sav,2014,11502,,,
junio2015.sav,2015,11056,,,
junio2016.sav,2016,11118,,,
junio2017.sav,2017,10773,,,
junio2018.sav,2018,10854,,,
junio2019.sav,2019,10597,,,
junio2020.sav,2020,15141,,,
junio2022.dta,2022,10350,,,
marzo1980.sav,1980,12961,,,
marzo1981.sav,1981,12969,,,
marzo1982.sav,1982,12864,,,
marzo1983.sav,1983,12582,,,
marzo1984.sav,1984,12767,,,
marzo1985.sav,1985,12595,,,
marzo1986.sav,1986,12253,,,
marzo1987.sav,1987,12316,,,
marzo1988.sav,1988,12323,,,
marzo1989.sav,1989,12216,,,
marzo1990.sav,1990,11936,,,
marzo1991.sav,1991,12009,,,
marzo1992.sav,1992,11633,,,
marzo1993.sav,1993,11508,,,
marzo1994.sav,1994,11361,,,
marzo1995.sav,1995,11110,,,
marzo1996.sav,1996,11230,,,
marzo1997.sav,1997,11374,,,
marzo1998.sav,1998,11405,,,
marzo1999.sav,1999,11546,,,
marzo2000.sav,2000,11467,,,
marzo2001.sav,2001,11577,,,
marzo2002.sav,2002,11265,,,
marzo2003.sav,2003,11063,,,
marzo2004.sav,2004,11121,,,
marzo2005.sav,2005,11123,,,
marzo2006.sav,2006,11232,,,
marzo2007.sav,2007,10864,,,
marzo2008.sav,2008,10698,,,
marzo2009.sav,2009,10924,,,
marzo2010.sav,2010,10984,,,
marzo2011.sav,2011,10612,,,
marzo2012.sav,2012,10586,,,
marzo2013.sav,2013,10368,,,
marzo2014.sav,2014,11437,,,
marzo2015.sav,2015,11178,,,
marzo2016.sav,2016,11147,,,
marzo2017.sav,2017,11156,,,
marzo2018.sav,2018,11023,,,
marzo2019.sav,2019,10856,,,
marzo2020.sav,2020,12989,,,
septiembre2008.sav,2008,10689,,,
septiembre2009.sav,2009,10881,,,
septiembre2010.sav,2010,11058,,,
septiembre2011.sav,2011,10840,,,
septiembre2012.sav,2012,10369,,,
septiembre2013.sav,2013,11598,,,
septiembre2014.sav,2014,11296,,,
septiembre2015.sav,2015,11432,,,
septiembre2016.sav,2016,11202,,,
septiembre2017.sav,2017,11004,,,
septiembre2018.sav,2018,10913,,,
septiembre2019.sav,2019,10940,,,
