year_final,trimestre,esperado,observado,estado
1957,T2,TRUE,TRUE,OK
1958,T2,TRUE,TRUE,OK
1959,T2,TRUE,TRUE,OK
1960,T2,TRUE,TRUE,OK
1961,T2,TRUE,TRUE,OK
1962,T2,TRUE,TRUE,OK
1963,T2,TRUE,TRUE,OK
1964,T2,TRUE,TRUE,OK
1965,T2,TRUE,TRUE,OK
1966,T2,TRUE,TRUE,OK
1967,T2,TRUE,TRUE,OK
1968,T2,TRUE,TRUE,OK
1969,T2,TRUE,TRUE,OK
1970,T2,TRUE,TRUE,OK
1971,T2,TRUE,TRUE,OK
1972,T2,TRUE,TRUE,OK
1973,T2,TRUE,TRUE,OK
1974,T2,TRUE,TRUE,OK
1975,T2,TRUE,TRUE,OK
1976,T2,TRUE,TRUE,OK
1977,T2,TRUE,TRUE,OK
1978,T2,TRUE,TRUE,OK
1979,T1,TRUE,FALSE,FALTA_EN_DATOS
1979,T2,TRUE,TRUE,OK
1979,T3,TRUE,FALSE,FALTA_EN_DATOS
1979,T4,TRUE,FALSE,FALTA_EN_DATOS
1980,T1,TRUE,TRUE,OK
1980,T2,TRUE,TRUE,OK
1981,T1,TRUE,TRUE,OK
1981,T2,TRUE,TRUE,OK
1982,T1,TRUE,TRUE,OK
1982,T2,TRUE,TRUE,OK
1983,T1,TRUE,TRUE,OK
1983,T2,TRUE,TRUE,OK
1984,T1,TRUE,TRUE,OK
1984,T2,TRUE,TRUE,OK
1985,T1,TRUE,TRUE,OK
1985,T2,TRUE,TRUE,OK
1986,T1,TRUE,TRUE,OK
1986,T2,TRUE,TRUE,OK
1987,T1,TRUE,TRUE,OK
1987,T2,TRUE,TRUE,OK
1988,T1,TRUE,TRUE,OK
1988,T2,TRUE,TRUE,OK
1989,T1,TRUE,TRUE,OK
1989,T2,TRUE,TRUE,OK
1990,T1,TRUE,TRUE,OK
1990,T2,TRUE,TRUE,OK
1991,T1,TRUE,TRUE,OK
1991,T2,TRUE,TRUE,OK
1992,T1,TRUE,TRUE,OK
1992,T2,TRUE,TRUE,OK
