year,trimestre,media_pond,media_simple,p50,n,t_index
2008,TNA,5140354.538608651,5135969.639783577,220000,15710,NA
2009,TNA,3788059.130989962,3786884.3927502492,240000,15035,NA
2010,TNA,5567050.138562654,5569199.683433499,250000,15308,NA
2011,TNA,5542166.26361049,5546797.570868671,260000,15564,NA
2012,TNA,5711613.721498945,5701606.404560757,300000,15743,NA
2013,TNA,6500950.630564819,6501317.914345804,320000,15691,NA
2014,TNA,8917268.565368062,8911999.970769627,350000,15566,NA
2015,TNA,9566289.207765905,9542167.903626395,400000,15139,NA
2016,TNA,7492455.675415856,7496649.754833584,400000,11327,NA
2017,TNA,7226412.746815961,7234634.93000333,416000,15015,NA
2018,TNA,4236814.186447701,4234067.496259012,450000,7351,NA
2019,TNA,12082422.547111303,12093683.051186891,500000,14281,NA
2020,TNA,12504033.3375112,12352743.297825746,500000,12786,NA
2021,TNA,13183598.711384196,13183598.711384196,550000,5859,NA
2022,TNA,10002520.852353992,10002520.852353992,550000,6712,NA
