year,month,trimestre,archivo,ingsueld,factor_hd,t_index
2020,NA,TNA,Marzo2020.sav,400000,0.5601732134819031,NA
2021,NA,TNA,Base_web_Septiembre2021.sav,360000,1,NA
2016,NA,TNA,Septiembre2016.sav,180000,0.6386399269104004,NA
2016,NA,TNA,Junio2016.sav,99999999,0.6368113160133362,NA
2019,NA,TNA,Diciembre2019.sav,180000,0.6615179181098938,NA
2014,NA,TNA,marzo2014.sav,220000,0.6119349002838135,NA
2016,NA,TNA,Junio2016.sav,950000,0.6368113160133362,NA
2022,NA,TNA,Base_web_Septiembre2022.sav,600000,1,NA
2010,NA,TNA,septiembre2010.sav,300000,0.550058901309967,NA
2012,NA,TNA,diciembre2012.sav,400000,0.5972103476524353,NA
2011,NA,TNA,diciembre2011.sav,190000,0.5796495079994202,NA
2017,NA,TNA,Junio2017.sav,500000,0.6613757610321045,NA
2011,NA,TNA,septiembre2011.sav,120000,0.5689879059791565,NA
2020,NA,TNA,Marzo2020.sav,350000,0.5601732134819031,NA
2014,NA,TNA,Diciembre2014.sav,400000,0.6248694062232971,NA
2017,NA,TNA,Marzo2017.sav,500000,0.6325675845146179,NA
2008,NA,TNA,septiembre2008.sav,200000,0.5581409931182861,NA
2019,NA,TNA,Diciembre2019.sav,750000,0.6615179181098938,NA
2013,NA,TNA,septiembre2013.sav,400000,0.5971465706825256,NA
2017,NA,TNA,Junio2017.sav,450000,0.6613757610321045,NA
2009,NA,TNA,septiembre2009.sav,250000,0.5532302260398865,NA
2021,NA,TNA,Base_web_Junio2021s.sav,190000,1,NA
2017,NA,TNA,Junio2017.sav,0,0.6613757610321045,NA
2017,NA,TNA,Marzo2017.sav,750000,0.6325675845146179,NA
2015,NA,TNA,Junio2015.sav,400000,0.6414608359336853,NA
2013,NA,TNA,septiembre2013.sav,260000,0.5971465706825256,NA
2008,NA,TNA,junio2008.sav,500000,0.5607762336730957,NA
2009,NA,TNA,septiembre2009.sav,174000,0.5532302260398865,NA
2011,NA,TNA,junio2011.sav,180000,0.5633636116981506,NA
2019,NA,TNA,Diciembre2019.sav,330000,0.6615179181098938,NA
2014,NA,TNA,septiembre2014.sav,210000,0.6223031878471375,NA
2016,NA,TNA,Marzo2016.sav,400000,0.6293061971664429,NA
2017,NA,TNA,Marzo2017.sav,200000,0.6325675845146179,NA
2015,NA,TNA,Diciembre2015.sav,340000,0.622811496257782,NA
2020,NA,TNA,Marzo2020.sav,300000,0.5601732134819031,NA
2014,NA,TNA,Diciembre2014.sav,200000,0.6248694062232971,NA
2021,NA,TNA,Base_web_Septiembre2021.sav,500000,1,NA
2014,NA,TNA,septiembre2014.sav,0,0.6223031878471375,NA
2010,NA,TNA,septiembre2010.sav,200000,0.550058901309967,NA
2008,NA,TNA,junio2008.sav,70000,0.5607762336730957,NA
2019,NA,TNA,Marzo2019.sav,300000,0.6635043621063232,NA
2009,NA,TNA,junio2009.sav,159000,0.5482271909713745,NA
2016,NA,TNA,Marzo2016.sav,99999999,0.6293061971664429,NA
2010,NA,TNA,marzo2010.sav,230000,0.5535104274749756,NA
2017,NA,TNA,Junio2017.sav,600000,0.6613757610321045,NA
2008,NA,TNA,marzo2008.sav,200000,0.5564092397689819,NA
2016,NA,TNA,Marzo2016.sav,900000,0.6293061971664429,NA
2019,NA,TNA,Diciembre2019.sav,550000,0.6615179181098938,NA
2009,NA,TNA,junio2009.sav,600000,0.5482271909713745,NA
2017,NA,TNA,Marzo2017.sav,800000,0.6325675845146179,NA
2022,NA,TNA,Diciembre2022.sav,700000,1,NA
2012,NA,TNA,marzo2012.sav,1000000,0.5810152292251587,NA
2010,NA,TNA,septiembre2010.sav,225000,0.550058901309967,NA
2015,NA,TNA,Junio2015.sav,180000,0.6414608359336853,NA
2015,NA,TNA,Diciembre2015.sav,350000,0.622811496257782,NA
