year,trimestre,month,file,ok,motivo,n_total,n_usadas,masa_salarial,suma_pesos,salario_promedio,wage_var,weight_var,mult_unidades
1997,T1,3,marzo1997.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,100
1997,T2,6,junio1997.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,100
1997,T3,9,septiembre1997.sav,FALSE,Faltan: ingsueld ,11273,0,NA,NA,NA,NA,NA,NA
1997,T4,12,diciembre1997.sav,FALSE,Faltan: ingsueld ,11288,0,NA,NA,NA,NA,NA,NA
1998,T1,3,marzo1998.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,100
1998,T2,6,junio1998.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,100
1998,T3,9,septiembre1998.sav,FALSE,Faltan: ingsueld ,11385,0,NA,NA,NA,NA,NA,NA
1998,T4,12,diciembre1998.sav,FALSE,Faltan: ingsueld ,11480,0,NA,NA,NA,NA,NA,NA
1999,T1,3,marzo1999.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
1999,T2,6,junio1999.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
1999,T3,9,septiembre1999.sav,FALSE,Faltan: ingsueld ,11378,0,NA,NA,NA,NA,NA,NA
1999,T4,12,diciembre1999.sav,FALSE,Faltan: ingsueld ,11412,0,NA,NA,NA,NA,NA,NA
2000,T1,3,marzo2000.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2000,T2,6,junio2000.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2000,T3,9,septiembre2000.sav,FALSE,Faltan: ingsueld ,11427,0,NA,NA,NA,NA,NA,NA
2000,T4,12,diciembre2000.sav,FALSE,Faltan: ingsueld ,11425,0,NA,NA,NA,NA,NA,NA
2001,T1,3,marzo2001.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2001,T2,6,junio2001.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2001,T3,9,septiembre2001.sav,FALSE,Faltan: ingsueld ,11269,0,NA,NA,NA,NA,NA,NA
2001,T4,12,diciembre2001.sav,FALSE,Faltan: ingsueld ,11425,0,NA,NA,NA,NA,NA,NA
