year,trimestre,n_obs,masa_salarial_real,suma_pesos,media_pond_real,media_simple_real,var_real,sd_real,t_index
2008,T1,3655,927879284.5499882,2033.675771355629,456257.2351105273,456257.23511052725,328066635480.8888,572771.0148749575,2008.1
2008,T2,3573,902010271.720679,2003.653482913971,450182.76833420293,450182.76833420293,350157964414.2948,591741.4675466769,2008.2
2008,T3,3802,997281415.7968776,2122.052055835724,469960.8631439157,469960.8631439157,451075019988.464,671621.1878644568,2008.3
2008,T4,3924,910117286.8065171,2100.728699684143,433238.8503776612,433238.8503776611,266800385937.5941,516527.2363947463,2008.4
2009,T1,3648,890867855.8317375,2001.2695999145508,445151.3458605354,445151.34586053545,336709587025.2902,580266.8239915929,2009.1
2009,T2,3642,918671649.0660801,1996.643429517746,460108.01702734124,460108.01702734124,363381356250.6137,602811.2111188823,2009.2
2009,T3,3634,990311432.4540919,2010.4386414289474,492584.7583939265,492584.7583939265,497737978297.21277,705505.4771560691,2009.3
2009,T4,3586,983177035.5052557,2017.4052160978317,487347.32499946986,487347.32499946986,486819352824.9249,697724.4103691119,2009.4
2010,T1,3638,933916701.9376525,2013.6709351539612,463788.14216050005,463788.14216050005,264624497237.21915,514416.6572314889,2010.1
2010,T2,3616,857084048.871614,2001.3917598724365,428244.01801586425,428244.01801586425,195240301872.90164,441860.0478351733,2010.2
2010,T3,3531,821997312.0228598,1942.2579805254936,423217.3687866438,423217.3687866438,195389784155.00928,442029.16663384245,2010.3
2010,T4,3719,942228018.7182065,2090.8464418649673,450644.29402944085,450644.29402944085,293977714640.1065,542197.1178825155,2010.4
2011,T1,3543,967344879.3056929,2043.0837038755417,473472.9553521125,473472.9553521125,304003958348.6643,551365.5396818559,2011.1
2011,T2,3668,995307515.9939362,2066.4177277088165,481658.42881027935,481658.42881027935,362852984575.25635,602372.7953479111,2011.2
2011,T3,3785,1004605013.8227482,2153.6192241311073,466472.9041077645,466472.9041077645,298466282868.43726,546320.6776870497,2011.3
2011,T4,3761,1061188555.6705723,2180.0617995858192,486769.94196778414,486769.9419677842,540346593859.1668,735082.7122570403,2011.4
2012,T1,3826,1074665133.5331497,2222.964267015457,483437.8804370035,483437.8804370035,378262538207.6187,615030.5181107834,2012.1
2012,T2,3694,1080208217.2138393,2169.5969598293304,497884.27860758663,497884.27860758663,311405575150.73553,558037.2524757963,2012.2
2012,T3,3751,1162929612.245651,2234.6740273833275,520402.34861787583,520402.34861787583,450057867888.8457,670863.5240411016,2012.3
2012,T4,3633,1199814874.0994017,2169.6651930212975,552995.4012990539,552995.401299054,801708676468.2515,895381.8606986918,2012.4
2013,T1,3518,1105834080.8102376,2102.670855283737,525918.7751765433,525918.7751765433,415577922210.9028,644653.3349102468,2013.1
2013,T2,3566,1271209804.7740436,2170.5282592773438,585668.3963180836,585668.3963180836,533574463275.0415,730461.8150697828,2013.2
2013,T3,3775,1311874437.2452583,2254.2283043265343,581961.6561141483,581961.6561141483,550395925718.9945,741886.733753202,2013.3
2013,T4,3882,1343363310.8224306,2342.207413315773,573545.8367970422,573545.8367970422,436030906475.19806,660326.363607571,2013.4
2014,T1,3617,1277584366.6686854,2213.3685343265533,577212.6723837282,577212.6723837282,458158368005.1416,676873.9675930385,2014.1
