year,trimestre,n_obs,masa_salarial,media_pond,media_simple,t_index
2008,TNA,15710,44608477069.69217,5140354.538608651,5135969.639783577,NA
2009,TNA,15035,31502556000.256775,3788059.130989962,3786884.3927502492,NA
2010,TNA,15308,47287088155.60415,5567050.138562654,5569199.683433499,NA
2011,TNA,15564,49350029398.84552,5542166.26361049,5546797.570868671,NA
2012,TNA,15743,53078434906.723595,5711613.721498945,5701606.404560757,NA
2013,TNA,15691,61376800392.6152,6500950.630564819,6501317.914345804,NA
2014,TNA,15566,85753768190.43755,8917268.565368062,8911999.970769627,NA
2015,TNA,15139,91212286335.43349,9566289.207765905,9542167.903626395,NA
2016,TNA,11327,53882636633.03816,7492455.675415856,7496649.754833584,NA
2017,TNA,15015,70113739785.20963,7226412.746815961,7234634.93000333,NA
2018,TNA,7351,20559255695.394726,4236814.186447701,4234067.496259012,NA
2019,TNA,14281,115394914162.35365,12082422.547111303,12093683.051186891,NA
2020,TNA,18151,114181143453.37988,12568975.89743979,12681279.068646356,NA
2021,TNA,13826,91392880450.78677,13212770.708643368,13223773.240922898,NA
2022,TNA,10728,74614122791.79346,10153937.16003529,10380825.888982102,NA
