year,salario_nominal_prom,salario_real_prom,ipc_prom
2008,5311772.762817676,7144755.863828677,74.7538414082615
2009,3892957.901690182,5130503.15483916,75.87667000600369
2010,5771498.9682363225,7481931.320353262,77.0272618127393
2011,5766096.923488104,7254867.636838369,79.60008059089604
2012,5895352.689139843,7184688.14465245,81.99425326526672
2013,6741741.318106838,8096149.234581262,83.46247073058896
2014,9174411.217199815,10488648.875119442,87.39935024361658
2015,9858317.221137587,10828920.230833082,91.20018649091918
2016,7733706.643190487,8199256.801986511,94.38861742277064
2017,7459481.811181802,7715802.071231931,96.71977254724843
2018,5403554.356252173,5446718.460090442,99.07414407486034
2019,12560628.123456344,12370121.793601017,101.60904966578032
2020,13569598.349649522,12952410.386708625,104.70360064995981
2021,13618766.23943246,12456749.053966708,109.44006565725704
2022,11524210.636952503,9526794.243712157,122.18284374212675
