year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,mediana_pond,mediana_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mediana_pond_real,mediana_simple_real,mean_nominal,mean_real,median_nominal,median_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2008,1,3655,665128977.8554108,2033.675771355629,327057.5316005472,327057.5316005472,200000,200000,3000000,2008.1,winsor_p99_5,T1,71.93097165247286,0.7193097165247286,NA,NA,NA,454682.48806743807,454682.48806743807,278044.3464135026,278044.3464135026,327057.5316005472,454682.48806743807,200000,278044.3464135026,924676759.6424437,4170665.196202539,524710.0987102991,275320687688.57184,1.1540143121423112,-70027.6106428611,FALSE,FALSE,TRUE
2008,2,3573,662641180.4421902,2003.653482913971,330716.45675902604,330716.45675902604,200000,200000,3000000,2008.2,winsor_p99_5,T2,73.60463822818078,0.7360463822818077,NA,NA,NA,449314.6963561947,449314.6963561947,271722.006675697,271722.006675697,330716.45675902604,449314.6963561947,200000,271722.006675697,900270956.2785227,4075830.1001354554,499372.2195807046,249372613688.9594,1.1114086043266806,-50057.523224509954,FALSE,FALSE,TRUE
2008,3,3802,747076518.7432258,2122.052055835724,352053.8135192004,352053.8135192004,217000,217000,3000000,2008.3,winsor_p99_5,T3,76.19681858371342,0.7619681858371342,NA,NA,NA,462032.168879095,462032.168879095,284788.7930669882,284788.7930669882,352053.8135192004,462032.168879095,217000,284788.7930669882,980456313.8321218,3937172.254382325,566742.7039364413,321197292465.1888,1.2266303995918237,-104710.5350573463,FALSE,FALSE,TRUE
2008,4,3924,691104419.5458269,2100.728699684143,328983.18552497454,328983.18552497454,210000,210000,3000000,2008.4,winsor_p99_5,T4,77.28293716867888,0.7728293716867889,NA,NA,NA,425686.7008133127,425686.7008133127,271728.8028813538,271728.8028813538,328983.18552497454,425686.7008133127,210000,271728.8028813538,894252269.4723831,3881840.041162198,481269.19049738627,231620033722.0095,1.1305713558301873,-55582.48968407354,FALSE,FALSE,TRUE
2009,1,3648,667762661.8786812,2001.2695999145508,333669.51754385966,333669.51754385966,200000,200000,3000000,2009.1,winsor_p99_5,T1,75.97143256631625,0.7597143256631625,NA,NA,NA,439203.93004646327,439203.93004646327,263256.849639393,263256.849639393,333669.51754385966,439203.93004646327,200000,263256.849639393,878965473.3649839,3948852.7445908943,513020.7367725534,263190276358.65353,1.168069549646974,-73816.80672609013,FALSE,FALSE,TRUE
2009,2,3642,684716519.2970709,1996.643429517746,342933.8003844042,342933.8003844042,220000,220000,3000000,2009.2,winsor_p99_5,T2,75.91945740839756,0.7591945740839756,NA,NA,NA,451707.3910837405,451707.3910837405,289780.7854665535,289780.7854665535,342933.8003844042,451707.3910837405,220000,289780.7854665535,901898594.4719534,3951556.1654530023,494698.0297685104,244726140656.84595,1.095173644561419,-42990.638684769845,FALSE,FALSE,TRUE
2009,3,3634,727767170.3625321,2010.4386414289474,361994.22124380845,361994.22124380845,250000,250000,3000000,2009.3,winsor_p99_5,T3,75.7615939068714,0.7576159390687139,NA,NA,NA,477807.0293621112,477807.0293621112,329982.49786997365,329982.49786997365,361994.22124380845,477807.0293621112,250000,329982.49786997365,960601714.9759641,3959789.974439684,536137.7737439729,287443712435.1435,1.1220801302562151,-58330.74438186173,FALSE,FALSE,TRUE
2009,4,3586,720510174.5822847,2017.4052160978317,357146.97713329614,357146.97713329614,240000,240000,3000000,2009.4,winsor_p99_5,T4,75.85419614242953,0.7585419614242953,NA,NA,NA,470833.51389379986,470833.51389379986,316396.47139540967,316396.47139540967,357146.97713329614,470833.51389379986,240000,316396.47139540967,949861986.8430228,3954955.892442621,552404.556711438,305150794275.5603,1.1732481660938798,-81571.04281763811,FALSE,FALSE,TRUE
2010,1,3638,706552771.1593359,2013.6709351539612,350877.9705882353,350877.9705882353,240000,240000,2500000,2010.1,winsor_p99_5,T1,76.13952693293992,0.7613952693293992,NA,NA,NA,460835.50124664156,460835.50124664156,315210.7842899794,315210.7842899794,350877.9705882353,460835.50124664156,240000,315210.7842899794,927971054.7474691,3283445.6696872856,487265.803544984,237427963304.339,1.0573530082357887,-26430.30229834245,FALSE,FALSE,TRUE
2010,2,3616,654568901.4256954,2001.3917598724365,327056.85840707965,327056.85840707965,230000,230000,2500000,2010.2,winsor_p99_5,T2,76.78970226528884,0.7678970226528884,NA,NA,NA,425912.39288463653,425912.39288463653,299519.3277419004,299519.3277419004,327056.85840707965,425912.39288463653,230000,299519.3277419004,852417553.5468633,3255644.866759787,409329.9744420189,167551027976.70386,0.9610661283408366,16582.418442617618,FALSE,FALSE,FALSE
