year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,mediana_pond,mediana_simple,p99_5,t_index,version
2008,T1,3655,671972811.5045693,2033.675771355629,330422.78467852256,330422.78467852256,200000,200000,NA,2008.1,sin_winsor
2008,T2,3573,673015540.7651424,2003.653482913971,335894.178561433,335894.178561433,200000,200000,NA,2008.2,sin_winsor
2008,T3,3802,767616107.2899787,2122.052055835724,361732.9297738033,361732.9297738033,217000,217000,NA,2008.3,sin_winsor
2008,T4,3924,697528666.3338518,2100.728699684143,332041.2895005097,332041.2895005097,210000,210000,NA,2008.4,sin_winsor
2009,T1,3648,677747066.1326408,2001.2695999145508,338658.55263157893,338658.55263157893,200000,200000,NA,2009.1,sin_winsor
2009,T2,3642,698477021.7904524,1996.643429517746,349825.61806699616,349825.61806699616,220000,220000,NA,2009.2,sin_winsor
2009,T3,3634,754266898.1898427,2010.4386414289474,375175.2889378096,375175.2889378096,250000,250000,NA,2009.3,sin_winsor
2009,T4,3586,743125815.8781946,2017.4052160978317,368357.2392638037,368357.2392638037,240000,240000,NA,2009.4,sin_winsor
2010,T1,3638,712143226.4768331,2013.6709351539612,353654.22127542604,353654.22127542604,240000,240000,NA,2010.1,sin_winsor
2010,T2,3616,658941411.0780716,2001.3917598724365,329241.592920354,329241.592920354,230000,230000,NA,2010.2,sin_winsor
2010,T3,3531,637941701.9604802,1942.2579805254936,328453.6391956953,328453.6391956953,240000,240000,NA,2010.3,sin_winsor
2010,T4,3719,733346876.7477393,2090.8464418649673,350741.624092498,350741.624092498,240000,240000,NA,2010.4,sin_winsor
2011,T1,3543,762456867.7842021,2043.0837038755417,373189.2464013548,373189.2464013548,250000,250000,NA,2011.1,sin_winsor
2011,T2,3668,791486777.0012498,2066.4177277088165,383023.60959651036,383023.60959651036,250000,250000,NA,2011.2,sin_winsor
2011,T3,3785,805173704.674083,2153.6192241311073,373870.0396301189,373870.0396301189,250000,250000,NA,2011.3,sin_winsor
2011,T4,3761,862588025.8440971,2180.0617995858192,395671.36399893643,395671.36399893643,250000,250000,NA,2011.4,sin_winsor
2012,T1,3826,879139513.0833361,2222.964267015457,395480.7219027705,395480.7219027705,255000,256000,NA,2012.1,sin_winsor
2012,T2,3694,881774256.1485218,2169.5969598293304,406423.06957227935,406423.06957227935,270000,270000,NA,2012.2,sin_winsor
2012,T3,3751,958585198.8623142,2234.6740273833275,428959.7440682485,428959.7440682485,280000,280000,NA,2012.3,sin_winsor
2012,T4,3633,989772475.517559,2169.6651930212975,456186.7327277732,456186.7327277732,300000,300000,NA,2012.4,sin_winsor
2013,T1,3518,918449166.1812024,2102.670855283737,436801.20636725414,436801.20636725414,300000,300000,NA,2013.1,sin_winsor
2013,T2,3566,1057331451.7364502,2170.5282592773438,487130.931015143,487130.931015143,300000,300000,NA,2013.2,sin_winsor
2013,T3,3775,1102517864.060825,2254.2283043265343,489088.821192053,489088.821192053,300000,300000,NA,2013.3,sin_winsor
2013,T4,3882,1141596539.0504897,2342.207413315773,487401.98351365275,487401.98351365275,320000,320000,NA,2013.4,sin_winsor
2014,T1,3617,1102085195.7641358,2213.3685343265533,497922.1393419961,497922.1393419961,320000,320000,NA,2014.1,sin_winsor
2014,T2,3540,1087184845.966339,2166.652979850769,501780.790960452,501780.790960452,330000,330000,NA,2014.2,sin_winsor
2014,T3,3565,1091982100.5221307,2218.510864675045,492213.99719495093,492213.99719495093,350000,350000,NA,2014.3,sin_winsor
2014,T4,3528,1174855016.4390883,2204.5392651557922,532925.4212018141,532925.4212018141,350000,350000,NA,2014.4,sin_winsor
2015,T1,3454,1201166463.7992382,2195.90745472908,547002.3161551824,547002.3161551824,350000,350000,NA,2015.1,sin_winsor
2015,T2,3084,1062613872.1484542,1978.2652180194855,537144.2931258107,537144.2931258107,350000,350000,NA,2015.2,sin_winsor
2015,T3,3593,1166426451.2718916,2229.6403499245644,523145.56081269134,523145.56081269134,350000,350000,NA,2015.3,sin_winsor
2015,T4,3632,1264506314.465745,2262.051354408264,559008.667951542,559008.6679515418,365000,365000,NA,2015.4,sin_winsor
2016,T1,3489,1165841333.359003,2195.649321913719,530977.9306391516,530977.9306391516,360000,360000,NA,2016.1,sin_winsor
2016,T2,3533,1253762397.5141644,2249.8543794751167,557263.798471554,557263.798471554,400000,400000,NA,2016.2,sin_winsor
2016,T3,3513,1323362554.5811534,2243.5420632362366,589854.1312268716,589854.1312268716,400000,400000,NA,2016.3,sin_winsor
2016,T4,3597,1351199086.8477345,2256.3415853977203,598845.0931331665,598845.0931331665,400000,400000,NA,2016.4,sin_winsor
2017,T1,3492,1361500237.7895908,2208.926005125046,616362.9902634594,616362.9902634594,400000,400000,NA,2017.1,sin_winsor
2017,T2,3406,1449924526.015063,2252.645842075348,643654.0085143864,643654.0085143864,400000,400000,NA,2017.2,sin_winsor
2017,T3,3570,1430930495.749714,2329.2940413951874,614319.3904761905,614319.3904761905,400000,400000,NA,2017.3,sin_winsor
2017,T4,3539,1437853013.2349885,2260.9809723496437,635942.1113308844,635942.1113308844,400000,400000,NA,2017.4,sin_winsor
2018,T1,3599,1592728087.6098595,2347.0899062752724,678596.96526813,678596.9652681301,420000,420000,NA,2018.1,sin_winsor
2018,T2,3488,1584976605.1656394,2331.0249004364014,679948.3801605504,679948.3801605505,450000,450000,NA,2018.2,sin_winsor
2018,T3,3470,1536524179.4047267,2285.2430415153503,672367.9501440922,672367.9501440922,450000,450000,NA,2018.3,sin_winsor
2018,T4,3510,1564944688.0091429,2268.491932153702,689861.2535612535,689861.2535612535,450000,450000,NA,2018.4,sin_winsor
2019,T1,3125,1364094637.0282173,2073.45113158226,657886.08,657886.08,450000,450000,NA,2019.1,sin_winsor
2019,T2,3156,1499802889.3808126,2168.0212483406067,691784.2205323194,691784.2205323194,450000,450000,NA,2019.2,sin_winsor
2019,T3,3161,1421748572.998176,2097.2822728157043,677900.4387851945,677900.4387851945,450000,450000,NA,2019.3,sin_winsor
2019,T4,3198,1473783206.2087317,2115.5343021154404,696648.220137586,696648.220137586,450000,450000,NA,2019.4,sin_winsor
2020,T1,3724,1481676099.8500865,2086.085047006607,710266.3920515574,710266.3920515574,480000,480000,NA,2020.1,sin_winsor
2020,T2,1572,1139185232,1572,724672.5394402036,724672.5394402036,470000,470000,NA,2020.2,sin_winsor
2020,T3,1671,1214186392,1671,726622.6163973669,726622.6163973669,450000,450000,NA,2020.3,sin_winsor
2020,T4,4321,1667761725.032133,2114.507839292288,788723.3587132607,788723.3587132609,500000,500000,NA,2020.4,sin_winsor
2021,T1,1548,1272944553,1548,822315.6027131783,822315.6027131783,500000,500000,NA,2021.1,sin_winsor
2021,T2,1596,1226882441,1596,768723.3339598997,768723.3339598997,500000,500000,NA,2021.2,sin_winsor
2021,T3,1661,1262490142,1661,760078.3515954245,760078.3515954245,500000,500000,NA,2021.3,sin_winsor
2021,T4,1867,1431333000,1867,766648.6341724691,766648.6341724691,500000,500000,NA,2021.4,sin_winsor
2022,T1,1729,1268829499,1729,733851.6477732793,733851.6477732793,500000,500000,NA,2022.1,sin_winsor
2022,T2,1562,1150379130,1562,736478.3162612036,736478.3162612036,500000,500000,NA,2022.2,sin_winsor
2022,T3,2159,1688115000,2159,781896.7114404817,781896.7114404817,550000,550000,NA,2022.3,sin_winsor
2022,T4,2198,1579976088,2198,718824.4258416742,718824.4258416742,500000,500000,NA,2022.4,sin_winsor
2008,T1,3655,665128977.8554108,2033.675771355629,327057.5316005472,327057.5316005472,200000,200000,3000000,2008.1,winsor_p99_5
2008,T2,3573,662641180.4421902,2003.653482913971,330716.45675902604,330716.45675902604,200000,200000,3000000,2008.2,winsor_p99_5
2008,T3,3802,747076518.7432258,2122.052055835724,352053.8135192004,352053.8135192004,217000,217000,3000000,2008.3,winsor_p99_5
2008,T4,3924,691104419.5458269,2100.728699684143,328983.18552497454,328983.18552497454,210000,210000,3000000,2008.4,winsor_p99_5
2009,T1,3648,667762661.8786812,2001.2695999145508,333669.51754385966,333669.51754385966,200000,200000,3000000,2009.1,winsor_p99_5
2009,T2,3642,684716519.2970709,1996.643429517746,342933.8003844042,342933.8003844042,220000,220000,3000000,2009.2,winsor_p99_5
2009,T3,3634,727767170.3625321,2010.4386414289474,361994.22124380845,361994.22124380845,250000,250000,3000000,2009.3,winsor_p99_5
2009,T4,3586,720510174.5822847,2017.4052160978317,357146.97713329614,357146.97713329614,240000,240000,3000000,2009.4,winsor_p99_5
2010,T1,3638,706552771.1593359,2013.6709351539612,350877.9705882353,350877.9705882353,240000,240000,2500000,2010.1,winsor_p99_5
2010,T2,3616,654568901.4256954,2001.3917598724365,327056.85840707965,327056.85840707965,230000,230000,2500000,2010.2,winsor_p99_5
2010,T3,3531,631120971.5842366,1942.2579805254936,324941.88615123194,324941.88615123194,240000,240000,2500000,2010.3,winsor_p99_5
2010,T4,3719,718729504.4733405,2090.8464418649673,343750.4974455499,343750.4974455499,240000,240000,2500000,2010.4,winsor_p99_5
2011,T1,3543,757093989.3066287,2043.0837038755417,370564.3522438611,370564.3522438611,250000,250000,3100000,2011.1,winsor_p99_5
2011,T2,3668,777233677.6252866,2066.4177277088165,376126.1177753544,376126.1177753544,250000,250000,3100000,2011.2,winsor_p99_5
2011,T3,3785,792064223.3203232,2153.6192241311073,367782.8533685601,367782.8533685601,250000,250000,3100000,2011.3,winsor_p99_5
2011,T4,3761,822070525.2349377,2180.0617995858192,377085.8814145174,377085.8814145174,250000,250000,3100000,2011.4,winsor_p99_5
2012,T1,3826,865280556.8206289,2222.964267015457,389246.2733925773,389246.2733925773,255000,256000,3748500.000000058,2012.1,winsor_p99_5
2012,T2,3694,877068568.3190275,2169.5969598293304,404254.1469951273,404254.1469951274,270000,270000,3748500.000000058,2012.2,winsor_p99_5
2012,T3,3751,941382498.2817477,2234.6740273833275,421261.6635563852,421261.6635563852,280000,280000,3748500.000000058,2012.3,winsor_p99_5
2012,T4,3633,932228869.6798576,2169.6651930212975,429664.8499862379,429664.8499862378,300000,300000,3748500.000000058,2012.4,winsor_p99_5
2013,T1,3518,906196536.1262517,2102.670855283737,430974.0318362706,430974.0318362706,300000,300000,4000000,2013.1,winsor_p99_5
2013,T2,3566,1039619064.6514893,2170.5282592773438,478970.52720134606,478970.52720134606,300000,300000,4000000,2013.2,winsor_p99_5
2013,T3,3775,1081140016.8303907,2254.2283043265343,479605.3774834437,479605.3774834437,300000,300000,4000000,2013.3,winsor_p99_5
2013,T4,3882,1127779808.0445826,2342.207413315773,481502.9623905204,481502.9623905204,320000,320000,4000000,2013.4,winsor_p99_5
2014,T1,3617,1094252429.040503,2213.3685343265533,494383.2949958529,494383.2949958529,320000,320000,4200000,2014.1,winsor_p99_5
2014,T2,3540,1065212291.7356491,2166.652979850769,491639.54802259884,491639.54802259884,330000,330000,4200000,2014.2,winsor_p99_5
2014,T3,3565,1080531721.8657434,2218.510864675045,487052.70687237027,487052.70687237027,350000,350000,4200000,2014.3,winsor_p99_5
2014,T4,3528,1159108307.4022613,2204.5392651557922,525782.5640589569,525782.5640589569,350000,350000,4200000,2014.4,winsor_p99_5
2015,T1,3454,1180186456.2699795,2195.90745472908,537448.1760277939,537448.1760277939,350000,350000,5000000,2015.1,winsor_p99_5
2015,T2,3084,1051965622.271955,1978.2652180194855,531761.6731517509,531761.6731517509,350000,350000,5000000,2015.2,winsor_p99_5
2015,T3,3593,1158359286.0759497,2229.6403499245644,519527.4144169218,519527.4144169218,350000,350000,5000000,2015.3,winsor_p99_5
2015,T4,3632,1255164142.0218782,2262.051354408264,554878.7120044053,554878.7120044053,365000,365000,5000000,2015.4,winsor_p99_5
2016,T1,3489,1160806883.7816715,2195.649321913719,528685.0100315276,528685.0100315276,360000,360000,5000000,2016.1,winsor_p99_5
2016,T2,3533,1245165444.7479844,2249.8543794751167,553442.6832720068,553442.6832720068,400000,400000,5000000,2016.2,winsor_p99_5
2016,T3,3513,1289578502.4475932,2243.5420632362366,574795.7765442642,574795.7765442642,400000,400000,5000000,2016.3,winsor_p99_5
2016,T4,3597,1321403083.1484318,2256.3415853977203,585639.644147901,585639.644147901,400000,400000,5000000,2016.4,winsor_p99_5
