h,irf,lower,upper,sample,dummy,p_used
0,0,0,0,Sin dummy (baseline),FALSE,4
1,0.004089492472904304,-0.007055634176604455,0.014269387529505066,Sin dummy (baseline),FALSE,4
2,0.004792143267250524,-0.004850314717089012,0.013980782388306877,Sin dummy (baseline),FALSE,4
3,0.005166686810611096,-0.005073919625276514,0.014405065447752339,Sin dummy (baseline),FALSE,4
4,0.0010964876589849573,-0.007319638429358347,0.009760023309490471,Sin dummy (baseline),FALSE,4
5,-0.011202950527014302,-0.020380970584721627,-3.9455721949761e-4,Sin dummy (baseline),FALSE,4
6,-0.0041552421749252305,-0.011944165773680187,0.0040813034320195275,Sin dummy (baseline),FALSE,4
7,9.303828820498343e-4,-0.005366849829876365,0.008249421274926921,Sin dummy (baseline),FALSE,4
8,7.882818166521879e-4,-0.005334428774826176,0.007460195406756518,Sin dummy (baseline),FALSE,4
9,-0.005440968692567747,-0.009934976076953622,0.0012495640950728483,Sin dummy (baseline),FALSE,4
10,-0.002546677933946552,-0.006889453360620558,0.002641461802006794,Sin dummy (baseline),FALSE,4
11,-8.675933279516498e-4,-0.004645046564401755,0.003948513285847773,Sin dummy (baseline),FALSE,4
12,0.0018474988960376067,-0.00228369070473506,0.0061090216171238165,Sin dummy (baseline),FALSE,4
0,0,0,0,Con dummy COVID,TRUE,4
1,2.6124947071718216e-4,-0.010029676961384779,0.010384852210425673,Con dummy COVID,TRUE,4
2,0.0016340344087720172,-0.0074702709413811555,0.010639958919767215,Con dummy COVID,TRUE,4
3,0.0039474340791069915,-0.006212473117619063,0.012979811474243357,Con dummy COVID,TRUE,4
4,1.397310386324982e-4,-0.008501263899467914,0.008559908554160882,Con dummy COVID,TRUE,4
5,-0.008592353926522307,-0.016708557869026072,5.851679560942667e-4,Con dummy COVID,TRUE,4
6,-0.003061456032881956,-0.00989886070585124,0.005133425886240698,Con dummy COVID,TRUE,4
7,-5.025741417312704e-4,-0.0057508238983145265,0.006647963710506566,Con dummy COVID,TRUE,4
8,-6.250766553926279e-4,-0.0057278090129240615,0.005466658544951504,Con dummy COVID,TRUE,4
9,-0.004516138463743989,-0.008426420873997748,0.0014215158019096072,Con dummy COVID,TRUE,4
10,-0.0018351931815547015,-0.005479635890617041,0.0029834925786455303,Con dummy COVID,TRUE,4
11,-9.631030448135963e-4,-0.004107669149205085,0.003271530186568121,Con dummy COVID,TRUE,4
12,7.455735433944362e-4,-0.0023648774518147935,0.004520827406966132,Con dummy COVID,TRUE,4
