h,irf,lower,upper,sample,dummy,p_used
0,0,0,0,Sin dummy (baseline),FALSE,4
1,0.0020712598932650325,-0.008236978722802423,0.010595449807014856,Sin dummy (baseline),FALSE,4
2,0.004472916572942152,-0.0049870061959858,0.011144659999381495,Sin dummy (baseline),FALSE,4
3,-0.0023617365740849446,-0.009950400161956573,0.005688356868651782,Sin dummy (baseline),FALSE,4
4,0.0026257649118016655,-0.0038124599089985607,0.007561612538383869,Sin dummy (baseline),FALSE,4
5,0.0013722915594755686,-0.004211172508744604,0.005682725071478594,Sin dummy (baseline),FALSE,4
6,0.0023692613466796174,-0.0032719243062514815,0.006893417928487448,Sin dummy (baseline),FALSE,4
7,-3.2788004805455855e-4,-0.004971999198998261,0.004834619273623669,Sin dummy (baseline),FALSE,4
8,0.004934034878632154,2.5355776567901787e-4,0.008869612695307113,Sin dummy (baseline),FALSE,4
9,0.0010203911086865962,-0.0027058563977519147,0.004330581695290002,Sin dummy (baseline),FALSE,4
10,0.0014630740259544825,-0.002119313969594438,0.004038402663779363,Sin dummy (baseline),FALSE,4
11,-0.0013012154901347521,-0.004356989856528937,0.001616580707118209,Sin dummy (baseline),FALSE,4
12,0.002348495052960596,-6.696626802371876e-4,0.004509018067288614,Sin dummy (baseline),FALSE,4
0,0,0,0,Con dummy COVID,TRUE,4
1,0.0033419092514224737,-0.006858853728454298,0.011161414541689611,Con dummy COVID,TRUE,4
2,0.005529869818781871,-0.0038851723248617413,0.011941372731090881,Con dummy COVID,TRUE,4
3,-0.0025821732480287105,-0.010248678818999452,0.005335670286063534,Con dummy COVID,TRUE,4
4,0.0033118815414645234,-0.002885492620446558,0.008362158778796966,Con dummy COVID,TRUE,4
5,0.001264403167755063,-0.004134523373755455,0.005773016167191897,Con dummy COVID,TRUE,4
6,0.002299501404237732,-0.0032838404664550375,0.00621565158183933,Con dummy COVID,TRUE,4
7,2.388759542646438e-4,-0.004416819373995079,0.004736882946440978,Con dummy COVID,TRUE,4
8,0.004285575138113782,-2.0850767269283733e-4,0.0077383023376907615,Con dummy COVID,TRUE,4
9,5.303543992386542e-4,-0.00326831138404,0.0036408503448614057,Con dummy COVID,TRUE,4
10,0.001745748607957201,-0.0019844149676747276,0.004021544918596768,Con dummy COVID,TRUE,4
11,-7.443487530949511e-4,-0.003576924563006176,0.0019696164932511183,Con dummy COVID,TRUE,4
12,0.0023379342275505707,-6.327331663768373e-4,0.004703408068099731,Con dummy COVID,TRUE,4
