h,irf,lower,upper,impulse,response,model,model_label,dummy,p_used,wage_col,ci
0,0,0,0,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
1,0.004089492472904304,-0.00718820102216697,0.013842588172876393,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
2,0.004792143267250524,-0.004805763709194608,0.012947754163858773,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
3,0.005166686810611096,-0.00484387482826897,0.014119085650664009,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
4,0.0010964876589849573,-0.007881068549166599,0.009778213970248726,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
5,-0.011202950527014302,-0.0206416640158302,-9.120555579516383e-4,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
6,-0.0041552421749252305,-0.011535269029497756,0.004067179775230021,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
7,9.303828820498343e-4,-0.005606271602207959,0.00806351540816595,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
8,7.882818166521879e-4,-0.00543724015773124,0.007574003241846682,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
9,-0.005440968692567747,-0.01024137939960061,8.904350589702607e-4,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
10,-0.002546677933946552,-0.007462480658979542,0.0025224738194031342,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
11,-8.675933279516498e-4,-0.004605817339261552,0.004126840174035529,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
12,0.0018474988960376067,-0.0017595570491429373,0.006049418601814281,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
0,0,0,0,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
1,-0.0024070094879820314,-0.01389200756378631,0.009940136924543427,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
2,0.01225646565062799,6.55591562226109e-4,0.02058233417505777,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
3,-0.0173934701567416,-0.02684861364390175,-0.003286313113944068,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
4,0.008372022447991262,-0.0022511808059506944,0.01828028994621116,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
5,9.922644156114184e-4,-0.008741892031939502,0.012134195459871759,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
6,0.011833561842898112,4.8710978537819266e-4,0.017708951051001596,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
7,-0.01075481810031456,-0.018442104701223132,-0.00114258895138668,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
8,0.0058624260403039,-0.002496510621800823,0.012928145029014007,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
9,-0.0040445702357602515,-0.01031293981810163,0.004162032367014825,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
10,0.009130168139809608,2.1160614533522528e-4,0.01382768605007759,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
11,-0.006609670273644954,-0.012599629362665165,9.690171299741665e-4,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
12,0.0050415501086552884,-0.0025253670895240884,0.010611646139099533,v,ga,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
0,0,0,0,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
1,0.0020712598932650325,-0.007459499536840727,0.011117307461403316,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
2,0.004472916572942152,-0.00483137433331,0.011063107344386055,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
3,-0.0023617365740849446,-0.010588497121506935,0.005941893290901307,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
4,0.0026257649118016655,-0.003898322542762665,0.0077755075041807,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
5,0.0013722915594755686,-0.004095978413460111,0.006053719495112321,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
6,0.0023692613466796174,-0.0035134990194928685,0.006891545001403729,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
7,-3.2788004805455855e-4,-0.005066284208002298,0.004097846311426469,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
8,0.004934034878632154,-9.956622186053014e-5,0.009015291458228922,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
9,0.0010203911086865962,-0.002855777435999673,0.0038658309629577654,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
10,0.0014630740259544825,-0.0024875427418658206,0.003907472180863219,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
11,-0.0013012154901347521,-0.004286160259276306,0.001656879411759035,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
12,0.002348495052960596,-8.386046240371916e-4,0.0046226266844254715,v,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
0,0,0,0,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
1,2.6124947071718216e-4,-0.010135899129312561,0.010520153477311917,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
2,0.0016340344087720172,-0.0074076930057780386,0.010352462465347736,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
3,0.0039474340791069915,-0.006245749861854085,0.012932759157443689,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
4,1.397310386324982e-4,-0.00900966598277198,0.009075791786387172,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
5,-0.008592353926522307,-0.01751608454954644,8.826382865080184e-4,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
6,-0.003061456032881956,-0.010420841222959859,0.004969890814023797,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
7,-5.025741417312704e-4,-0.006286154159093475,0.0067414268359443745,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
8,-6.250766553926279e-4,-0.005764267168903892,0.004873298882993636,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
