h,irf,lower,upper,sample,p_used
0,0,0,0,Full (2008Q1–2022Q4),4
1,0.004089492472904304,-0.007055634176604455,0.014269387529505066,Full (2008Q1–2022Q4),4
2,0.004792143267250524,-0.004850314717089012,0.013980782388306877,Full (2008Q1–2022Q4),4
3,0.005166686810611096,-0.005073919625276514,0.014405065447752339,Full (2008Q1–2022Q4),4
4,0.0010964876589849573,-0.007319638429358347,0.009760023309490471,Full (2008Q1–2022Q4),4
5,-0.011202950527014302,-0.020380970584721627,-3.9455721949761e-4,Full (2008Q1–2022Q4),4
6,-0.0041552421749252305,-0.011944165773680187,0.0040813034320195275,Full (2008Q1–2022Q4),4
7,9.303828820498343e-4,-0.005366849829876365,0.008249421274926921,Full (2008Q1–2022Q4),4
8,7.882818166521879e-4,-0.005334428774826176,0.007460195406756518,Full (2008Q1–2022Q4),4
9,-0.005440968692567747,-0.009934976076953622,0.0012495640950728483,Full (2008Q1–2022Q4),4
10,-0.002546677933946552,-0.006889453360620558,0.002641461802006794,Full (2008Q1–2022Q4),4
11,-8.675933279516498e-4,-0.004645046564401755,0.003948513285847773,Full (2008Q1–2022Q4),4
12,0.0018474988960376067,-0.00228369070473506,0.0061090216171238165,Full (2008Q1–2022Q4),4
0,0,0,0,noCOVID (2008Q1–2019Q4),4
1,0.0057590635405328616,-0.006648213626492815,0.01601012124787094,noCOVID (2008Q1–2019Q4),4
2,1.2037087669783424e-4,-0.007541425705026115,0.00785018356126686,noCOVID (2008Q1–2019Q4),4
3,-1.344557699144188e-4,-0.007744756886588034,0.006500627147033429,noCOVID (2008Q1–2019Q4),4
4,0.002169771393357377,-0.005047359737936395,0.00886159949361146,noCOVID (2008Q1–2019Q4),4
5,-0.003039742665785136,-0.009124159862486138,0.0031800093318597737,noCOVID (2008Q1–2019Q4),4
6,0.0013278438569799956,-0.003644261022096024,0.007464955351836971,noCOVID (2008Q1–2019Q4),4
7,-1.9483334002926876e-4,-0.005480956069556348,0.00484612289843357,noCOVID (2008Q1–2019Q4),4
8,0.003262119108330698,-0.0018604376599965613,0.007480463001764628,noCOVID (2008Q1–2019Q4),4
9,-0.002347290552224166,-0.006299869601014394,0.0019221024655070049,noCOVID (2008Q1–2019Q4),4
10,7.483342350084744e-4,-0.0030522252098034997,0.004387752280202479,noCOVID (2008Q1–2019Q4),4
11,-0.0013520182236073702,-0.004727881585805046,0.0023618718700119277,noCOVID (2008Q1–2019Q4),4
12,0.002667302864933814,-9.936495570772948e-4,0.0058042246355171695,noCOVID (2008Q1–2019Q4),4
