h,irf,lower,upper,sample,p_used
0,0,0,0,Full (2008Q1–2022Q4),4
1,-0.0024070094879820314,-0.013857843328370884,0.008956724457738761,Full (2008Q1–2022Q4),4
2,0.01225646565062799,9.993424856482261e-4,0.02066670304709147,Full (2008Q1–2022Q4),4
3,-0.0173934701567416,-0.027443693099674146,-0.0025864254648313247,Full (2008Q1–2022Q4),4
4,0.008372022447991262,-0.0019964102906654606,0.01784167398309999,Full (2008Q1–2022Q4),4
5,9.922644156114184e-4,-0.008503520205750474,0.012695139609186461,Full (2008Q1–2022Q4),4
6,0.011833561842898112,7.162656124208063e-4,0.018029397620303436,Full (2008Q1–2022Q4),4
7,-0.01075481810031456,-0.017620220067649715,-7.955803858911421e-4,Full (2008Q1–2022Q4),4
8,0.0058624260403039,-0.0028165045320176964,0.012683286488051141,Full (2008Q1–2022Q4),4
9,-0.0040445702357602515,-0.009998058728948645,0.00456324681413455,Full (2008Q1–2022Q4),4
10,0.009130168139809608,2.7192585065530353e-4,0.013954814246254745,Full (2008Q1–2022Q4),4
11,-0.006609670273644954,-0.012072031625008047,5.753347942196757e-4,Full (2008Q1–2022Q4),4
12,0.0050415501086552884,-0.0024912486154420174,0.010257459977773095,Full (2008Q1–2022Q4),4
0,0,0,0,noCOVID (2008Q1–2019Q4),4
1,0.004758743505267651,-5.642544365671578e-4,0.007714969194532352,noCOVID (2008Q1–2019Q4),4
2,-0.0015792086858698665,-0.00665917772046377,0.004159341272307175,noCOVID (2008Q1–2019Q4),4
3,-0.00385317660617932,-0.0091487666191086,0.0019441608362544428,noCOVID (2008Q1–2019Q4),4
4,-3.938984148666254e-4,-0.005169181997109248,0.005200603863354689,noCOVID (2008Q1–2019Q4),4
5,0.0036758951387695317,-0.002155111303521203,0.00768122875861434,noCOVID (2008Q1–2019Q4),4
6,-6.394403793689397e-4,-0.006271657945607831,0.004647910256926065,noCOVID (2008Q1–2019Q4),4
7,-0.002241989323813703,-0.006945615223481826,0.0035478094434785797,noCOVID (2008Q1–2019Q4),4
8,-2.568953045050382e-4,-0.005208686050890275,0.004388530531691765,noCOVID (2008Q1–2019Q4),4
9,0.002365525072841349,-0.002489821260455302,0.00667587026294466,noCOVID (2008Q1–2019Q4),4
10,-7.186306616680232e-4,-0.00592556911421905,0.004007082035989638,noCOVID (2008Q1–2019Q4),4
11,-0.0015638747164223967,-0.005510596168179821,0.0038064467111147728,noCOVID (2008Q1–2019Q4),4
12,5.7236659190355044e-5,-0.0046585308549973985,0.0039897850369882155,noCOVID (2008Q1–2019Q4),4
