h,irf,lower,upper,sample,p_used
0,0,0,0,Full (2008Q1–2022Q4),4
1,0.0020712598932650325,-0.008236978722802423,0.010595449807014856,Full (2008Q1–2022Q4),4
2,0.004472916572942152,-0.0049870061959858,0.011144659999381495,Full (2008Q1–2022Q4),4
3,-0.0023617365740849446,-0.009950400161956573,0.005688356868651782,Full (2008Q1–2022Q4),4
4,0.0026257649118016655,-0.0038124599089985607,0.007561612538383869,Full (2008Q1–2022Q4),4
5,0.0013722915594755686,-0.004211172508744604,0.005682725071478594,Full (2008Q1–2022Q4),4
6,0.0023692613466796174,-0.0032719243062514815,0.006893417928487448,Full (2008Q1–2022Q4),4
7,-3.2788004805455855e-4,-0.004971999198998261,0.004834619273623669,Full (2008Q1–2022Q4),4
8,0.004934034878632154,2.5355776567901787e-4,0.008869612695307113,Full (2008Q1–2022Q4),4
9,0.0010203911086865962,-0.0027058563977519147,0.004330581695290002,Full (2008Q1–2022Q4),4
10,0.0014630740259544825,-0.002119313969594438,0.004038402663779363,Full (2008Q1–2022Q4),4
11,-0.0013012154901347521,-0.004356989856528937,0.001616580707118209,Full (2008Q1–2022Q4),4
12,0.002348495052960596,-6.696626802371876e-4,0.004509018067288614,Full (2008Q1–2022Q4),4
0,0,0,0,noCOVID (2008Q1–2019Q4),4
1,-0.0015543151492217267,-0.010177383910965124,0.007452353763714534,noCOVID (2008Q1–2019Q4),4
2,0.008437220458825445,-0.0015384191915889295,0.01555492214022184,noCOVID (2008Q1–2019Q4),4
3,7.511991508975081e-4,-0.007828265631453576,0.00894375681551022,noCOVID (2008Q1–2019Q4),4
4,7.796319515514663e-4,-0.006077450284675016,0.006146915477775867,noCOVID (2008Q1–2019Q4),4
5,-1.750972334210137e-5,-0.004895849533411965,0.00469838661863455,noCOVID (2008Q1–2019Q4),4
6,-3.457757396422481e-4,-0.005251856701166471,0.004238109728845696,noCOVID (2008Q1–2019Q4),4
7,4.200236654215748e-4,-0.003634368207395931,0.004120062685344124,noCOVID (2008Q1–2019Q4),4
8,0.0014578124714731732,-0.0021340988791425947,0.005042928440304698,noCOVID (2008Q1–2019Q4),4
9,0.0012577505279082648,-0.002812320065184415,0.004106846224088129,noCOVID (2008Q1–2019Q4),4
10,3.1092671413558004e-5,-0.0033196716251071984,0.0029748815446911155,noCOVID (2008Q1–2019Q4),4
11,-4.899684576848423e-4,-0.003526332404737743,0.0021221229411649933,noCOVID (2008Q1–2019Q4),4
12,-2.148453373105458e-5,-0.0025567683194206614,0.0024733027136547713,noCOVID (2008Q1–2019Q4),4
