h,irf,lower,upper,sample,impulse,response,tag,p_used,ci
0,0,0,0,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
1,0.0057590635405328616,-0.006436547730689885,0.015278617046262329,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
2,1.2037087669783424e-4,-0.0072002441723308585,0.008372541941381366,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
3,-1.344557699144188e-4,-0.007199914549565054,0.006358760193146274,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
4,0.002169771393357377,-0.005235945408630085,0.008787834976701473,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
5,-0.003039742665785136,-0.009153843063204875,0.002835583878481803,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
6,0.0013278438569799956,-0.0035421555705383904,0.0070642373078024226,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
7,-1.9483334002926876e-4,-0.005497673849258363,0.004894963400822964,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
8,0.003262119108330698,-0.001939881977004172,0.007256046658609424,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
9,-0.002347290552224166,-0.00666703613739904,0.002029287149984206,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
10,7.483342350084744e-4,-0.003048120979550246,0.004338051119065009,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
11,-0.0013520182236073702,-0.004615245174176837,0.0022235902820515858,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
12,0.002667302864933814,-0.0010615952912871134,0.005603982859851626,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,4,0.95
0,0,0,0,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
1,0.004042694817770054,-0.007961673401715521,0.013999900921382851,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
2,0.0026602156238362536,-0.008518455982655559,0.013285379526432385,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
3,0.0015451712338479583,-0.008760821472551143,0.009911373187039866,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
4,6.930410717232002e-4,-0.008358548653310226,0.008722845422222519,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
5,-0.006126888275012684,-0.013740810810333787,0.0026353142449729605,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
6,5.634688110306329e-4,-0.006646631657264849,0.00921789159476143,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
7,6.995518381524107e-4,-0.005895637564185258,0.0066719406742028935,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
8,0.004187780571498824,-0.0025215499431886982,0.009943708809327979,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
9,-0.001594768774403777,-0.006793270550256853,0.004744812926198188,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
10,0.0010875016037514274,-0.004369794198878325,0.005396139271772633,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
11,-0.0022334104591628305,-0.006992142504745381,0.0021837190312012957,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
12,0.0017695862011675913,-0.003070863821588971,0.005670245985186613,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,5,0.95
0,0,0,0,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,6,0.95
1,0.0014723319284456274,-0.008142910636575906,0.009036439665658619,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,6,0.95
2,-0.004036688038156064,-0.01223809566496093,0.005531472671953316,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,6,0.95
3,0.002636232862848008,-0.0066935134728691,0.010888504221322298,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,6,0.95
4,0.006638782800670668,-0.0031543596275086633,0.013064879435625638,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,6,0.95
5,-0.0065856935054119745,-0.01367368281411548,0.00284731528766779,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,6,0.95
6,-6.427933330421811e-4,-0.007371464750540515,0.0069369806409455516,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,6,0.95
7,-0.0022675076377626675,-0.009919921101265623,0.005867435107201769,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,6,0.95
8,0.004804796476018603,-0.0037648696420926105,0.01019638726730888,noCOVID (2008Q1-2019Q4),ga,gw,baseline_mean_winsor_nocovid,6,0.95
