sample,tag,p_used,impulse,response,h,irf,lower,upper,excludes_zero
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,0,0,0,0,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,1,0.004758743505267651,-6.659073732827698e-4,0.007998616733142843,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,2,-0.0015792086858698665,-0.0065889288146118745,0.0044344813531626,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,3,-0.00385317660617932,-0.008796762568239556,0.002292197886228908,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,4,-3.938984148666254e-4,-0.005146172801859064,0.005229021020549572,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,5,0.0036758951387695317,-0.002229129799246894,0.008514282953784487,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,6,-6.394403793689397e-4,-0.0063076892200817115,0.004934206582838106,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,7,-0.002241989323813703,-0.006914805651644715,0.0036962449941850117,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,8,-2.568953045050382e-4,-0.005512173511039324,0.004537076665023434,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,9,0.002365525072841349,-0.0025419725962633134,0.007211890800288632,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,10,-7.186306616680232e-4,-0.006094070509235155,0.003974882550298643,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,11,-0.0015638747164223967,-0.005578787366896293,0.004106143092907505,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,ga,12,5.7236659190355044e-5,-0.005000247218905412,0.004188693904171096,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,0,0,0,0,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,1,-0.0015543151492217267,-0.009968184057258463,0.007915974750037186,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,2,0.008437220458825445,-0.0016952432713232947,0.015192281805836608,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,3,7.511991508975081e-4,-0.008488755099146624,0.008392646219009283,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,4,7.796319515514663e-4,-0.005623223988861598,0.006161757946130571,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,5,-1.750972334210137e-5,-0.005179996580712327,0.004890346660244532,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,6,-3.457757396422481e-4,-0.005190416597761827,0.004181400867207899,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,7,4.200236654215748e-4,-0.003922276569350879,0.004607475618618628,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,8,0.0014578124714731732,-0.002057076542232301,0.005378047641602771,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,9,0.0012577505279082648,-0.002715707796606109,0.004000727296987348,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,10,3.1092671413558004e-5,-0.003282398163066132,0.0030440469269386945,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,11,-4.899684576848423e-4,-0.0031400888321458653,0.0022457099983214613,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,4,v,gw,12,-2.148453373105458e-5,-0.002732968093612995,0.0025115471529319447,FALSE
