h,irf,lower,upper,sample,impulse,response,tag,p_used,ci
0,0,0,0,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
1,0.004758743505267651,-6.659073732827698e-4,0.007998616733142843,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
2,-0.0015792086858698665,-0.0065889288146118745,0.0044344813531626,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
3,-0.00385317660617932,-0.008796762568239556,0.002292197886228908,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
4,-3.938984148666254e-4,-0.005146172801859064,0.005229021020549572,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
5,0.0036758951387695317,-0.002229129799246894,0.008514282953784487,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
6,-6.394403793689397e-4,-0.0063076892200817115,0.004934206582838106,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
7,-0.002241989323813703,-0.006914805651644715,0.0036962449941850117,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
8,-2.568953045050382e-4,-0.005512173511039324,0.004537076665023434,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
9,0.002365525072841349,-0.0025419725962633134,0.007211890800288632,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
10,-7.186306616680232e-4,-0.006094070509235155,0.003974882550298643,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
11,-0.0015638747164223967,-0.005578787366896293,0.004106143092907505,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
12,5.7236659190355044e-5,-0.005000247218905412,0.004188693904171096,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,4,0.95
0,0,0,0,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,5,0.95
1,0.00420490256248354,-0.0013324576413891879,0.007957083602922499,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,5,0.95
2,-0.0019241187569233951,-0.0069702088678799965,0.003977509699608112,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,5,0.95
3,-0.004228512577951489,-0.009298157367932174,0.0020428853111936294,noCOVID (2008Q1-2019Q4),v,ga,baseline_mean_winsor_nocovid,5,0.95
