h,irf,lower,upper,sample,impulse,response,tag,p_used,ci
0,0,0,0,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
1,-0.0015543151492217267,-0.009968184057258463,0.007915974750037186,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
2,0.008437220458825445,-0.0016952432713232947,0.015192281805836608,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
3,7.511991508975081e-4,-0.008488755099146624,0.008392646219009283,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
4,7.796319515514663e-4,-0.005623223988861598,0.006161757946130571,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
5,-1.750972334210137e-5,-0.005179996580712327,0.004890346660244532,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
6,-3.457757396422481e-4,-0.005190416597761827,0.004181400867207899,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
7,4.200236654215748e-4,-0.003922276569350879,0.004607475618618628,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
8,0.0014578124714731732,-0.002057076542232301,0.005378047641602771,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
9,0.0012577505279082648,-0.002715707796606109,0.004000727296987348,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
10,3.1092671413558004e-5,-0.003282398163066132,0.0030440469269386945,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
11,-4.899684576848423e-4,-0.0031400888321458653,0.0022457099983214613,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
12,-2.148453373105458e-5,-0.002732968093612995,0.0025115471529319447,noCOVID (2008Q1-2019Q4),v,gw,baseline_mean_winsor_nocovid,4,0.95
