sample,tag,wage_col,criterion,p,value
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,AIC(n),1,-22.836745284517534
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,AIC(n),2,-22.684720122227322
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,AIC(n),3,-23.777508625199957
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,AIC(n),4,-23.90737634271785
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,AIC(n),5,-23.808775816247987
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,AIC(n),6,-23.80770388882569
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,AIC(n),7,-24.04213832829478
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,AIC(n),8,-24.080445548777746
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,FPE(n),1,1.2107950290530373e-10
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,FPE(n),2,1.4232232758986147e-10
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,FPE(n),3,4.884364884556591e-11
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,FPE(n),4,4.483935954079998e-11
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,FPE(n),5,5.331532141481401e-11
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,FPE(n),6,6.000167719030818e-11
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,FPE(n),7,5.66702262944239e-11
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,FPE(n),8,7.108660925057716e-11
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,HQ(n),1,-22.653092483539304
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,HQ(n),2,-22.363327720515414
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,HQ(n),3,-23.31837662275438
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,HQ(n),4,-23.310504739538597
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,HQ(n),5,-23.074164612335057
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,HQ(n),6,-22.935353084179088
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,HQ(n),7,-23.0320479229145
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,HQ(n),8,-22.932615542663797
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,SC(n),1,-22.32488016263149
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,SC(n),2,-21.788956158926744
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,SC(n),3,-22.497845820484844
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,SC(n),4,-22.243814696588203
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,SC(n),5,-21.761315328703805
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,SC(n),6,-21.376344559866975
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,SC(n),7,-21.226880157921528
nocovid (2008Q1-2019Q4),baseline_mean_winsor_nocovid,w_real_mean_winsor,SC(n),8,-20.881288536989963
