h,irf,lower,upper,sample,p_used
0,0,0,0,Baseline (v level),4
1,0.004089492472904304,-0.007055634176604455,0.014269387529505066,Baseline (v level),4
2,0.004792143267250524,-0.004850314717089012,0.013980782388306877,Baseline (v level),4
3,0.005166686810611096,-0.005073919625276514,0.014405065447752339,Baseline (v level),4
4,0.0010964876589849573,-0.007319638429358347,0.009760023309490471,Baseline (v level),4
5,-0.011202950527014302,-0.020380970584721627,-3.9455721949761e-4,Baseline (v level),4
6,-0.0041552421749252305,-0.011944165773680187,0.0040813034320195275,Baseline (v level),4
7,9.303828820498343e-4,-0.005366849829876365,0.008249421274926921,Baseline (v level),4
8,7.882818166521879e-4,-0.005334428774826176,0.007460195406756518,Baseline (v level),4
9,-0.005440968692567747,-0.009934976076953622,0.0012495640950728483,Baseline (v level),4
10,-0.002546677933946552,-0.006889453360620558,0.002641461802006794,Baseline (v level),4
11,-8.675933279516498e-4,-0.004645046564401755,0.003948513285847773,Baseline (v level),4
12,0.0018474988960376067,-0.00228369070473506,0.0061090216171238165,Baseline (v level),4
0,0,0,0,Robustez (delta v),4
1,0.0028860721700547107,-0.009235511765442067,0.013257939066804223,Robustez (delta v),4
2,0.007177685092091809,-0.0034159873282640476,0.017561567295855427,Robustez (delta v),4
3,0.009107033731230023,-0.002668487688612768,0.01862124550257211,Robustez (delta v),4
4,0.005461157154525636,-0.004427345771401723,0.015547196513609909,Robustez (delta v),4
5,-0.005489837575367333,-0.013989664984811497,0.002265258775334127,Robustez (delta v),4
6,-0.0015451758600171157,-0.00942117439009101,0.004840362207750093,Robustez (delta v),4
7,0.003172405545314618,-0.0030571836183568195,0.009197301690104251,Robustez (delta v),4
8,0.0017712660468797688,-0.0034867038937218815,0.006299758769451626,Robustez (delta v),4
9,-0.0023469346710248595,-0.006673960491339617,0.002875161420211919,Robustez (delta v),4
10,-0.0013383442123212116,-0.005550524101488623,0.0031730565623067798,Robustez (delta v),4
11,-4.883693238886519e-6,-0.003944850030085638,0.003688199944562806,Robustez (delta v),4
12,0.0011414269623642183,-0.0022446609772968588,0.004347111386668563,Robustez (delta v),4
