h,irf,lower,upper,sample,p_used
0,0,0,0,Baseline (v level),4
1,-0.0024070094879820314,-0.013857843328370884,0.008956724457738761,Baseline (v level),4
2,0.01225646565062799,9.993424856482261e-4,0.02066670304709147,Baseline (v level),4
3,-0.0173934701567416,-0.027443693099674146,-0.0025864254648313247,Baseline (v level),4
4,0.008372022447991262,-0.0019964102906654606,0.01784167398309999,Baseline (v level),4
5,9.922644156114184e-4,-0.008503520205750474,0.012695139609186461,Baseline (v level),4
6,0.011833561842898112,7.162656124208063e-4,0.018029397620303436,Baseline (v level),4
7,-0.01075481810031456,-0.017620220067649715,-7.955803858911421e-4,Baseline (v level),4
8,0.0058624260403039,-0.0028165045320176964,0.012683286488051141,Baseline (v level),4
9,-0.0040445702357602515,-0.009998058728948645,0.00456324681413455,Baseline (v level),4
10,0.009130168139809608,2.7192585065530353e-4,0.013954814246254745,Baseline (v level),4
11,-0.006609670273644954,-0.012072031625008047,5.753347942196757e-4,Baseline (v level),4
12,0.0050415501086552884,-0.0024912486154420174,0.010257459977773095,Baseline (v level),4
0,0,0,0,Robustez (delta v),4
1,-0.004527534944771688,-0.015974714693970132,0.009548526474456708,Robustez (delta v),4
2,0.007142535105998101,-0.005205077563782495,0.016147527719390764,Robustez (delta v),4
3,-0.01411720977424046,-0.025234828260661202,-3.4169981712641004e-4,Robustez (delta v),4
4,0.009960177359688146,-0.0041207762669227994,0.0220431133751236,Robustez (delta v),4
5,-0.0010711177771998478,-0.011616555950444864,0.01120968482021174,Robustez (delta v),4
6,0.007807269488914207,-0.0048745001289040605,0.016483059812509915,Robustez (delta v),4
7,-0.014930778400807192,-0.022750257662274762,-0.0027442957908392278,Robustez (delta v),4
8,0.0067785660167775895,-0.004079119874018965,0.015195010169283629,Robustez (delta v),4
9,-0.002753919879020565,-0.009937375075316099,0.0068107923708099535,Robustez (delta v),4
10,0.00987423086333098,-2.051665027928937e-4,0.01581690796699407,Robustez (delta v),4
11,-0.010402316066978098,-0.016102506598433392,-2.7249358907517217e-4,Robustez (delta v),4
12,0.004900128059051105,-0.0041910399134759795,0.011024807747980377,Robustez (delta v),4
