h,irf,lower,upper,sample,p_used
0,0,0,0,Baseline (v level),4
1,0.0020712598932650325,-0.008236978722802423,0.010595449807014856,Baseline (v level),4
2,0.004472916572942152,-0.0049870061959858,0.011144659999381495,Baseline (v level),4
3,-0.0023617365740849446,-0.009950400161956573,0.005688356868651782,Baseline (v level),4
4,0.0026257649118016655,-0.0038124599089985607,0.007561612538383869,Baseline (v level),4
5,0.0013722915594755686,-0.004211172508744604,0.005682725071478594,Baseline (v level),4
6,0.0023692613466796174,-0.0032719243062514815,0.006893417928487448,Baseline (v level),4
7,-3.2788004805455855e-4,-0.004971999198998261,0.004834619273623669,Baseline (v level),4
8,0.004934034878632154,2.5355776567901787e-4,0.008869612695307113,Baseline (v level),4
9,0.0010203911086865962,-0.0027058563977519147,0.004330581695290002,Baseline (v level),4
10,0.0014630740259544825,-0.002119313969594438,0.004038402663779363,Baseline (v level),4
11,-0.0013012154901347521,-0.004356989856528937,0.001616580707118209,Baseline (v level),4
12,0.002348495052960596,-6.696626802371876e-4,0.004509018067288614,Baseline (v level),4
0,0,0,0,Robustez (delta v),4
1,-0.0028587436157120325,-0.013347237102413104,0.007260070157474067,Robustez (delta v),4
2,0.004151102638877424,-0.005772887607120795,0.0122379499899757,Robustez (delta v),4
3,-0.003366088750622326,-0.01207349441873614,0.0055514226685689375,Robustez (delta v),4
4,-0.004731952201342251,-0.012157830492130027,0.005056951949517766,Robustez (delta v),4
5,-0.002025035933470326,-0.007508884603328336,0.0040719741509441755,Robustez (delta v),4
6,0.0020952452575434765,-0.003649665959633582,0.007218509228620429,Robustez (delta v),4
7,-5.337123802696204e-4,-0.005212170541460367,0.004463684991691333,Robustez (delta v),4
8,0.0019595492574134977,-0.0022236197797063603,0.006773769624873144,Robustez (delta v),4
9,-0.0017473036180754814,-0.005581894674253907,0.0024385866334197255,Robustez (delta v),4
10,-1.4987942633588938e-5,-0.003998975851158783,0.0035214578503057333,Robustez (delta v),4
11,-9.285104390179406e-4,-0.003977344249314542,0.0026965114905067606,Robustez (delta v),4
12,0.002464179611096796,-6.446769579655415e-4,0.005292255755599031,Robustez (delta v),4
