h,irf,lower,upper,impulse,response,relation,ci,ci_label,ci_tag,tag,wage_col,p_used,block,block_title
0,0.05065697619098345,0.02859061241367724,0.05663745460658581,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
1,-0.009462206214136447,-0.015151314105601416,-0.0031669696955596302,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
2,-0.021103531621886332,-0.028221933363850097,-0.006567120333550103,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
3,-0.010876379756144017,-0.01548627686803425,-0.0036877833807914713,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
4,0.021873141971490383,0.011606791598590438,0.02468017108434106,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
5,-0.0036176331686234215,-0.009704545320951887,0.0023088361552186638,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
6,-0.006829558558663015,-0.013325874947067919,0.002460798205701851,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
7,-0.011467237588021413,-0.014988636194740796,-0.003777134566339768,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
8,0.0064359367878486385,-4.049972463623762e-4,0.010668796788187404,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
9,-0.0022534868925757168,-0.006765858874777094,0.003541049575043925,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
10,0.003628439306627399,-0.0010443180799206754,0.008844645513400869,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
11,-0.005608673276145874,-0.009010361575041924,4.150207813846468e-4,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
12,0.004092050319231945,-6.652353996239587e-4,0.007511605430954692,ga,ga,ga -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
0,0.05065697619098345,0.026170832225043038,0.06410262336870617,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
1,-0.009462206214136447,-0.019484054145406868,-9.770164593826935e-5,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
2,-0.021103531621886332,-0.03487966034714102,-0.0037488338742507374,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
3,-0.010876379756144017,-0.019384705748866624,7.394721733270036e-4,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
4,0.021873141971490383,0.007739571248070473,0.030014385084638336,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
5,-0.0036176331686234215,-0.014710608832032887,0.00645549953466048,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
6,-0.006829558558663015,-0.019236977571127106,0.005623291351223284,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
7,-0.011467237588021413,-0.01852410340136224,3.606008073672374e-4,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
8,0.0064359367878486385,-0.0045655842070571355,0.015297252841355188,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
9,-0.0022534868925757168,-0.010328722276200202,0.008288659732606082,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
10,0.003628439306627399,-0.004835035684303268,0.01129638850183834,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
11,-0.005608673276145874,-0.012206888356033523,0.003418462262898742,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
12,0.004092050319231945,-0.003829350008809915,0.010831719531836488,ga,ga,ga -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
0,0.05065697619098345,0.024661414049067003,0.06836016897815554,ga,ga,ga -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
1,-0.009462206214136447,-0.021860946555817367,0.001135442252384188,ga,ga,ga -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
2,-0.021103531621886332,-0.038660504439152796,-0.0019303670162241105,ga,ga,ga -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
