horizonte,respuesta,estimacion_puntual,limite_inferior_68,limite_inferior_90,limite_inferior_95,limite_superior_68,limite_superior_90,limite_superior_95
0,ga,0.05065697619098345,0.02859061241367724,0.026170832225043038,0.024661414049067003,0.05663745460658581,0.06410262336870617,0.06836016897815554
1,ga,-0.009462206214136447,-0.015151314105601416,-0.019484054145406868,-0.021860946555817367,-0.0031669696955596302,-9.770164593826935e-5,0.001135442252384188
2,ga,-0.021103531621886332,-0.028221933363850097,-0.03487966034714102,-0.038660504439152796,-0.006567120333550103,-0.0037488338742507374,-0.0019303670162241105
3,ga,-0.010876379756144017,-0.01548627686803425,-0.019384705748866624,-0.020324131569803686,-0.0036877833807914713,7.394721733270036e-4,0.004298714177840537
4,ga,0.021873141971490383,0.011606791598590438,0.007739571248070473,0.005589813318270059,0.02468017108434106,0.030014385084638336,0.03352607586095329
5,ga,-0.0036176331686234215,-0.009704545320951887,-0.014710608832032887,-0.018154293625818427,0.0023088361552186638,0.00645549953466048,0.008192637677240124
6,ga,-0.006829558558663015,-0.013325874947067919,-0.019236977571127106,-0.022514508810336047,0.002460798205701851,0.005623291351223284,0.007581149194567909
7,ga,-0.011467237588021413,-0.014988636194740796,-0.01852410340136224,-0.02065068449064902,-0.003777134566339768,3.606008073672374e-4,0.003426833665098197
8,ga,0.0064359367878486385,-4.049972463623762e-4,-0.0045655842070571355,-0.006460640332698358,0.010668796788187404,0.015297252841355188,0.01809827752520677
9,ga,-0.0022534868925757168,-0.006765858874777094,-0.010328722276200202,-0.012588921921473933,0.003541049575043925,0.008288659732606082,0.010035585015629678
10,ga,0.003628439306627399,-0.0010443180799206754,-0.004835035684303268,-0.007619401042204116,0.008844645513400869,0.01129638850183834,0.01365884381794343
11,ga,-0.005608673276145874,-0.009010361575041924,-0.012206888356033523,-0.013544268416934646,4.150207813846468e-4,0.003418462262898742,0.005420100293366028
12,ga,0.004092050319231945,-6.652353996239587e-4,-0.003829350008809915,-0.005852936927215787,0.007511605430954692,0.010831719531836488,0.012810438597432331
0,gw,0,0,0,0,0,0,0
1,gw,0.004089492472904304,-0.001417312088410502,-0.004774634006548251,-0.00712882774967557,0.008792741957085817,0.012164855532755318,0.013582391738473549
2,gw,0.004792143267250524,-4.46103755157438e-4,-0.003330696653696544,-0.004716313671156094,0.008780688906627953,0.011932930127108058,0.013490877472163853
3,gw,0.005166686810611096,-7.499925490487182e-4,-0.0037797930016822082,-0.005299752609769774,0.008969432773353764,0.01325450028739547,0.01413680328255898
4,gw,0.0010964876589849573,-0.002842376966355245,-0.006698433514684102,-0.008437527308314445,0.005627514277207642,0.008682842725481348,0.010150295571088297
5,gw,-0.011202950527014302,-0.014685043577569584,-0.019422086835523496,-0.020429902806280247,-0.004250677666239326,-0.001674832159223132,-7.66011622590163e-4
6,gw,-0.0041552421749252305,-0.007146132875805174,-0.010824695981137425,-0.012214012758889906,7.891587043537372e-4,0.0029436439829785533,0.0042960113825845445
