horizonte,respuesta,estimacion_puntual,limite_inferior_68,limite_inferior_90,limite_inferior_95,limite_superior_68,limite_superior_90,limite_superior_95
0,ga,0,0,0,0,0,0,0
1,ga,-0.0024070094879820314,-0.006725530238117639,-0.010755308324572412,-0.014192112895399307,0.003541679090346649,0.007096986743136804,0.00954895726656502
2,ga,0.01225646565062799,0.005069574306363997,0.0019035568637930172,4.0889197096020697e-4,0.014634900537720234,0.018950441644814763,0.020687130689673205
3,ga,-0.0173934701567416,-0.02009813191609174,-0.024792279367457495,-0.027196681729514855,-0.008308966211773888,-0.005056793718254107,-0.00200560889936044
4,ga,0.008372022447991262,0.002499021685743976,-9.944627981018435e-4,-0.002290492436351213,0.012370382824786178,0.01592342300265444,0.017499657699419403
5,ga,9.922644156114184e-4,-0.003613265036000965,-0.00699126430735337,-0.008878857801873809,0.006565593075652253,0.010736135182170047,0.012636214496334475
6,ga,0.011833561842898112,0.004497060448637343,0.0015721191874919238,5.75425522220394e-4,0.01300728019317936,0.016095256418774326,0.017601982527163513
7,ga,-0.01075481810031456,-0.012481714007798761,-0.015662618555706175,-0.01703317301801639,-0.004498987350348138,-0.0021056375253091803,-9.255820111609405e-4
8,ga,0.0058624260403039,9.151636660800055e-4,-0.0016983012158346537,-0.0029595216631976506,0.008306247086702155,0.011224621738232809,0.012506552433724704
9,ga,-0.0040445702357602515,-0.006396317763630628,-0.008880022332063737,-0.01012154206393696,7.041659285868937e-4,0.0031137060034203785,0.0048526336463404025
10,ga,0.009130168139809608,0.0030025560269834797,0.001158707056936758,-1.5411589929690726e-4,0.009915822979194373,0.012507684244469852,0.0137343594403258
11,ga,-0.006609670273644954,-0.008370399556727562,-0.011045450392852221,-0.012229914389041032,-0.0018636791749224403,2.646153762954556e-4,0.0010484939750808099
12,ga,0.0050415501086552884,3.962637381616759e-4,-0.0016064106857123853,-0.0025625746673774794,0.006567790372558868,0.009018284926312639,0.010004742252092493
0,gw,0,0,0,0,0,0,0
1,gw,0.0020712598932650325,-0.003074576361520154,-0.005809036410647538,-0.0077986581767068505,0.006241235013006014,0.009442272663371649,0.011228668023943318
2,gw,0.004472916572942152,-0.001121018203621039,-0.0036479221714257187,-0.004649517249215207,0.007402020887144957,0.010066018868585307,0.011358443738601696
3,gw,-0.0023617365740849446,-0.006393001395936156,-0.00889388100162367,-0.01048886117772966,0.0019470638455760122,0.0043859654474995916,0.005781756472114308
4,gw,0.0026257649118016655,-7.74620171955606e-4,-0.0029720655287308767,-0.003580215157591323,0.004903457368204345,0.007024803720484368,0.007553114356089272
5,gw,0.0013722915594755686,-0.0015621648634592052,-0.003487042251301313,-0.004193783389032292,0.0033600663755348216,0.00520251094836788,0.005855880142376423
6,gw,0.0023692613466796174,-6.575039542700934e-4,-0.002329628413782876,-0.0031161861475648713,0.004175501263673832,0.006129208570605624,0.006938105011699146
7,gw,-3.2788004805455855e-4,-0.002766596444631336,-0.004260721328509583,-0.0050593218943790225,0.0017282673678884204,0.0035004659033439074,0.004115621079865075
8,gw,0.004934034878632154,0.001844229740900013,8.017080941704667e-4,9.994887346759231e-5,0.006163333562947143,0.007680471836381583,0.008660669596176366
9,gw,0.0010203911086865962,-0.0011470694503314194,-0.0023148673352780345,-0.002798642838115541,0.002125518358904102,0.0033488609067203324,0.00412216569742638
10,gw,0.0014630740259544825,-7.59790352695055e-4,-0.0018498032336315981,-0.002480510943511667,0.0022287342868944,0.003379917979307177,0.0037588802533737252
11,gw,-0.0013012154901347521,-0.0026244397006880927,-0.003641102004644379,-0.004118916356005572,1.5808595470866851e-4,0.0011059805295195841,0.0016316925979508443
12,gw,0.002348495052960596,2.706692032348465e-4,-3.5765554658772524e-4,-7.899168914665276e-4,0.0028405964108644565,0.004012140642099883,0.004676716846107446
0,v,0.009542152467673782,0.006617526513561123,0.006060105811190173,0.0057698659381276475,0.008836568020453687,0.009369587899885635,0.009793448166494984
1,v,0.0068357187922011035,0.0034903148899656567,0.0022325072024272715,0.0017243771885760728,0.007115883289032108,0.008855695845289696,0.009791065176337327
2,v,0.0049878625436528745,0.0016262486240779038,1.0496667272687345e-4,-8.855912777497764e-4,0.0058693720776932445,0.007861623794217685,0.009158865001102037
3,v,0.004972099426135745,0.0018503494525770234,2.178708394891433e-4,-1.4294253896542802e-4,0.005886582492984887,0.007836282394693875,0.009042165475353046
4,v,0.0055455899399777615,0.002189878058139246,0.0012088472076844032,4.0623693685196176e-4,0.005947596806020782,0.007668280652665042,0.008529940236655171
5,v,0.0025427840645700474,-2.9939831821483505e-4,-0.0013650581218456013,-0.002082783997707262,0.002947068836421227,0.004409314312117195,0.005049045577517772
