h,irf,lower,upper,p
0,0,0,0,1
1,-0.0041742303842896115,-0.01495304578861581,0.006242550536710702,1
2,0.0021109445694152563,-0.00547256768709594,0.009933980675136305,1
3,-9.081768543224542e-5,-0.0034262711093182526,0.0030584544660556844,1
4,4.0063183796284276e-4,-0.001995291509241781,0.00337567407194453,1
5,1.6359008354017258e-4,-0.001545024002939517,0.0018245024049585129,1
6,1.566424356092529e-4,-9.96760264707872e-4,0.0015603336005553337,1
7,1.0491574754580443e-4,-7.663247523039149e-4,0.0010901427713342533,1
8,7.9909293510374e-5,-5.658920398294589e-4,8.967813918935636e-4,1
9,5.7916457032152235e-5,-4.542335580249437e-4,6.80960694318884e-4,1
10,4.2768655552962284e-5,-3.5563775973439395e-4,5.609543013421731e-4,1
11,3.1358928078239924e-5,-2.8449944157867186e-4,4.5474234448353144e-4,1
12,2.3055105554296873e-5,-2.277800365503572e-4,3.6660849050601204e-4,1
0,0,0,0,6
1,0.004277910594423442,-0.005122547328386848,0.01252057037028831,6
2,0.010589614347943114,-7.371877633055401e-4,0.017146893263146168,6
3,0.01096991414279329,-0.0017579046241136334,0.019367856567794113,6
4,0.011108202284909365,-0.0016172921539418955,0.018476968182894987,6
5,-0.0068543233878044126,-0.01841839056246425,0.00487327344624096,6
6,4.747804008057097e-4,-0.009866405336016884,0.009719585094580737,6
7,-0.0011878220700787506,-0.012630768197060199,0.007559889103199416,6
8,0.001119882134276015,-0.01036296715204681,0.010916163756982514,6
9,0.007334448759363697,-0.0034597141815463067,0.015298522842324094,6
10,0.00951994454669457,-0.002501445794950183,0.01748065589536546,6
11,5.181515525723356e-4,-0.009767361735978418,0.009680706941631126,6
12,0.0018581083616634525,-0.007802541517815687,0.01079015663274017,6
