h,irf,lower,upper,p
0,0,0,0,1
1,0.0054261449079326665,-7.301680593231771e-4,0.014683875146284714,1
2,0.002396293506948978,-3.807769310874498e-4,0.006129610597787807,1
3,0.00220744609163255,-2.5229940771008205e-4,0.004117033502041588,1
4,0.0014969459061941655,-1.8564896539934264e-4,0.0025632532889139897,1
5,0.00113452173347066,-1.6801397342265374e-4,0.0020002197967056985,1
6,8.237888882590131e-4,-1.3827887404724808e-4,0.0014018144518532388,1
7,6.079030126279766e-4,-9.893436066261558e-5,0.0010755392683955726,1
8,4.4584649597879125e-4,-7.462015934611086e-5,8.154082030964024e-4,1
9,3.277535593522452e-4,-5.6057595331647676e-5,6.424835923880895e-4,1
10,2.4072756389159841e-4,-3.94608474139268e-5,5.116109998798599e-4,1
11,1.7686819746668444e-4,-3.023895630825986e-5,4.1531743890123947e-4,1
12,1.2993270205333946e-4,-2.1149739106487514e-5,3.325110872309269e-4,1
0,0,0,0,6
1,-6.462121820745941e-4,-0.014748045176616676,0.012256669294481545,6
2,0.010362206510108869,-0.00500419736202292,0.019582556423470652,6
3,-0.016012275503775392,-0.027032487797979052,-0.0012522199393185476,6
4,0.010955339180245379,-0.003591480675144439,0.024373809149324552,6
5,0.0028376508866370482,-0.012107555394049514,0.015151606208911827,6
6,0.009729929184987532,-0.005230246413974227,0.019258024813450465,6
7,-0.01427353775944564,-0.023820283165253968,0.0017746601317845515,6
8,0.009290279454554438,-0.006357476899192271,0.01961183653416875,6
9,0.0017452164143276344,-0.009839386668285422,0.013214590481833216,6
10,0.009946759390748528,-0.003483473060539817,0.018309873061787357,6
11,-0.008711911464922034,-0.017609372351148025,0.003235645687680221,6
12,0.006694452837403051,-0.005291850880344438,0.014765733837760196,6
