h,irf,lower,upper,p
0,0,0,0,1
1,-2.0303590108882515e-4,-0.005441337412460565,0.0058359235161825175,1
2,-5.133238706905108e-4,-0.004310431789875564,0.003515951610464051,1
3,-2.5480279770551047e-4,-0.002735410510892258,0.0023544712457021165,1
4,-2.223113414805093e-4,-0.0020703361715276947,0.001636585709724376,1
5,-1.5348372986130054e-4,-0.0015629800993419898,0.0012249714651514122,1
6,-1.1550222599910437e-4,-0.0011829050707751713,8.845939976739755e-4,1
7,-8.408936320938167e-5,-8.977016026863986e-4,6.842707143898918e-4,1
8,-6.198995161394657e-5,-7.049120205781165e-4,5.282463041545073e-4,1
9,-4.548185398264571e-5,-5.594481443440992e-4,4.059027044171454e-4,1
10,-3.343006820122373e-5,-4.3934638983651525e-4,3.114376750146262e-4,1
11,-2.455497753808912e-5,-3.510765489746819e-4,2.47903932211014e-4,1
12,-1.804074267136777e-5,-2.7837830758256323e-4,1.9832861305498793e-4,1
0,0,0,0,6
1,0.013380623805381468,0.002556121049331807,0.017837926720680797,6
2,0.009907333249938624,-0.0012305338147495799,0.01419689768832111,6
3,0.001063445865598893,-0.00704094390770096,0.007694900427439222,6
4,0.001733257411145006,-0.006300281652321329,0.008762377583132018,6
5,0.010654958980388436,-8.608075839287177e-4,0.014568431134079879,6
6,0.008246991737841535,-0.001953239046383489,0.012297214016571521,6
7,0.007597383030938308,-0.003086392100432915,0.012700719278143853,6
8,0.013125643447616974,0.001940483677229249,0.017081199410193433,6
9,0.0049807897843460085,-0.004984113067167083,0.009828875015112643,6
10,0.009505986535361263,-3.707988403962482e-4,0.014145906130220027,6
11,0.010607994613365692,-6.988303847343886e-4,0.014403353665566226,6
12,0.011018773902525673,-2.9880408390655137e-4,0.014283908929823882,6
