H,multiplier,lower,upper,impulse,response,ci,ci_label,ci_tag,tag,p_used
4,8.280084538956206e-4,-0.020041922158678963,0.022188681498350942,v,ga,0.68,68%,68,baseline_mean_winsor,4
8,0.008761442652394492,-0.030897441681995607,0.0457445232996943,v,ga,0.68,68%,68,baseline_mean_winsor,4
12,0.012278920391454182,-0.04246097603479741,0.06134410516639949,v,ga,0.68,68%,68,baseline_mean_winsor,4
4,8.280084538956206e-4,-0.034993951088958815,0.036339130824284985,v,ga,0.9,90%,90,baseline_mean_winsor,4
8,0.008761442652394492,-0.05774297465879462,0.0724606993293427,v,ga,0.9,90%,90,baseline_mean_winsor,4
12,0.012278920391454182,-0.0778593451129596,0.09712812453796002,v,ga,0.9,90%,90,baseline_mean_winsor,4
4,8.280084538956206e-4,-0.04229860423306227,0.0448786760230989,v,ga,0.95,95%,95,baseline_mean_winsor,4
8,0.008761442652394492,-0.07052258342605934,0.08749091935474879,v,ga,0.95,95%,95,baseline_mean_winsor,4
12,0.012278920391454182,-0.09481199654480275,0.11684177518713086,v,ga,0.95,95%,95,baseline_mean_winsor,4
4,8.280084538956206e-4,-0.058853435059879715,0.06313846082959268,v,ga,0.99,99%,99,baseline_mean_winsor,4
8,0.008761442652394492,-0.09876713868433247,0.11905929869291029,v,ga,0.99,99%,99,baseline_mean_winsor,4
12,0.012278920391454182,-0.133202504699039,0.15978991884374907,v,ga,0.99,99%,99,baseline_mean_winsor,4
4,8.280084538956206e-4,-0.07622492582785576,0.08715175005224644,v,ga,0.999,99.9%,999,baseline_mean_winsor,4
8,0.008761442652394492,-0.1290108366278258,0.15652655373209767,v,ga,0.999,99.9%,999,baseline_mean_winsor,4
12,0.012278920391454182,-0.17631507443635427,0.20759298577481924,v,ga,0.999,99.9%,999,baseline_mean_winsor,4
