H,multiplier,lower,upper,ci,ci_label,ci_tag,impulse,response,tag,p_used
4,0.006808204803923905,-0.011166679818212538,0.020050979139114838,0.68,68%,68,v,gw,baseline_mean_winsor,4
8,0.015155912540656687,-0.014099072141628779,0.03578258551158449,0.68,68%,68,v,gw,baseline_mean_winsor,4
12,0.01868665723812361,-0.018178736099088412,0.04325209484462808,0.68,68%,68,v,gw,baseline_mean_winsor,4
4,0.006808204803923905,-0.021586170669107903,0.03012617315360497,0.9,90%,90,v,gw,baseline_mean_winsor,4
8,0.015155912540656687,-0.03056345848803155,0.05284445094651547,0.9,90%,90,v,gw,baseline_mean_winsor,4
12,0.01868665723812361,-0.038324945765580314,0.06477498871390654,0.9,90%,90,v,gw,baseline_mean_winsor,4
4,0.006808204803923905,-0.026986844989743356,0.034990079213432,0.95,95%,95,v,gw,baseline_mean_winsor,4
8,0.015155912540656687,-0.039188383238058684,0.06127045418232883,0.95,95%,95,v,gw,baseline_mean_winsor,4
12,0.01868665723812361,-0.04904020614217116,0.07576503731580501,0.95,95%,95,v,gw,baseline_mean_winsor,4
4,0.006808204803923905,-0.03764135951459146,0.046231630971361466,0.99,99%,99,v,gw,baseline_mean_winsor,4
8,0.015155912540656687,-0.05718481030655452,0.08032779100939383,0.99,99%,99,v,gw,baseline_mean_winsor,4
12,0.01868665723812361,-0.07142184687086725,0.10034368145710386,0.99,99%,99,v,gw,baseline_mean_winsor,4
4,0.006808204803923905,-0.045782335575561404,0.05821360217809212,0.999,99.9%,999,v,gw,baseline_mean_winsor,4
8,0.015155912540656687,-0.07314043474768957,0.10258250326670829,0.999,99.9%,999,v,gw,baseline_mean_winsor,4
12,0.01868665723812361,-0.09279343513522081,0.12964270549568882,0.999,99.9%,999,v,gw,baseline_mean_winsor,4
