h,irf,lower,upper,ci_excludes_zero,effect_sign,band_sign,impulse,response,ci,ci_label,ci_tag,tag,p_used
0,0,0,0,FALSE,cero,incluye_cero,ga,gw,0.68,68%,68,baseline_mean_winsor,4
1,0.004089492472904304,-0.0018410222625222022,0.009024673055547772,FALSE,positivo,incluye_cero,ga,gw,0.68,68%,68,baseline_mean_winsor,4
2,0.004792143267250524,-1.627515860974245e-4,0.008448214289615242,FALSE,positivo,incluye_cero,ga,gw,0.68,68%,68,baseline_mean_winsor,4
3,0.005166686810611096,-6.920943774731988e-4,0.008867538558586109,FALSE,positivo,incluye_cero,ga,gw,0.68,68%,68,baseline_mean_winsor,4
4,0.0010964876589849573,-0.0030091582217865085,0.005711360623892039,FALSE,positivo,incluye_cero,ga,gw,0.68,68%,68,baseline_mean_winsor,4
5,-0.011202950527014302,-0.014653970872200658,-0.004513643915222293,TRUE,negativo,negativo,ga,gw,0.68,68%,68,baseline_mean_winsor,4
6,-0.0041552421749252305,-0.007492408875495701,8.175257543706789e-4,FALSE,negativo,incluye_cero,ga,gw,0.68,68%,68,baseline_mean_winsor,4
7,9.303828820498343e-4,-0.002089303639052136,0.004348782553559804,FALSE,positivo,incluye_cero,ga,gw,0.68,68%,68,baseline_mean_winsor,4
8,7.882818166521879e-4,-0.0018870970630468493,0.00419380217261865,FALSE,positivo,incluye_cero,ga,gw,0.68,68%,68,baseline_mean_winsor,4
9,-0.005440968692567747,-0.006331673232947354,-9.799493854523438e-4,TRUE,negativo,negativo,ga,gw,0.68,68%,68,baseline_mean_winsor,4
10,-0.002546677933946552,-0.004003326893693596,5.988647301497911e-4,FALSE,negativo,incluye_cero,ga,gw,0.68,68%,68,baseline_mean_winsor,4
11,-8.675933279516498e-4,-0.0024605711880545584,0.0014310553383813348,FALSE,negativo,incluye_cero,ga,gw,0.68,68%,68,baseline_mean_winsor,4
12,0.0018474988960376067,2.3664010333071827e-5,0.0036951881550949532,TRUE,positivo,positivo,ga,gw,0.68,68%,68,baseline_mean_winsor,4
0,0,0,0,FALSE,cero,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
1,0.004089492472904304,-0.005117097755750097,0.012286464589129922,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
2,0.004792143267250524,-0.003501203793287743,0.012041321327431156,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
3,0.005166686810611096,-0.0035629610694061574,0.012676719880988514,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
4,0.0010964876589849573,-0.0057517002207321385,0.008525099184180205,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
5,-0.011202950527014302,-0.018540585067604202,-0.0017860890059509756,TRUE,negativo,negativo,ga,gw,0.9,90%,90,baseline_mean_winsor,4
6,-0.0041552421749252305,-0.010257646313025186,0.0031396252990593845,FALSE,negativo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
7,9.303828820498343e-4,-0.004186706272627711,0.007089213240010248,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
8,7.882818166521879e-4,-0.004248703979633913,0.006402499131806802,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
9,-0.005440968692567747,-0.008710333170591328,5.281794008007981e-4,FALSE,negativo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
10,-0.002546677933946552,-0.006039555447626594,0.0019117783638357621,FALSE,negativo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
11,-8.675933279516498e-4,-0.003918214344241962,0.0030399504057040073,FALSE,negativo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
12,0.0018474988960376067,-0.0015310598715616735,0.005248479321180618,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
0,0,0,0,FALSE,cero,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
1,0.004089492472904304,-0.007055634176604455,0.014269387529505066,FALSE,positivo,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
2,0.004792143267250524,-0.004850314717089012,0.013980782388306877,FALSE,positivo,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
3,0.005166686810611096,-0.005073919625276514,0.014405065447752339,FALSE,positivo,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
4,0.0010964876589849573,-0.007319638429358347,0.009760023309490471,FALSE,positivo,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
5,-0.011202950527014302,-0.020380970584721627,-3.9455721949761e-4,TRUE,negativo,negativo,ga,gw,0.95,95%,95,baseline_mean_winsor,4
6,-0.0041552421749252305,-0.011944165773680187,0.0040813034320195275,FALSE,negativo,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
7,9.303828820498343e-4,-0.005366849829876365,0.008249421274926921,FALSE,positivo,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
8,7.882818166521879e-4,-0.005334428774826176,0.007460195406756518,FALSE,positivo,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
9,-0.005440968692567747,-0.009934976076953622,0.0012495640950728483,FALSE,negativo,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
10,-0.002546677933946552,-0.006889453360620558,0.002641461802006794,FALSE,negativo,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
11,-8.675933279516498e-4,-0.004645046564401755,0.003948513285847773,FALSE,negativo,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
12,0.0018474988960376067,-0.00228369070473506,0.0061090216171238165,FALSE,positivo,incluye_cero,ga,gw,0.95,95%,95,baseline_mean_winsor,4
0,0,0,0,FALSE,cero,incluye_cero,ga,gw,0.99,99%,99,baseline_mean_winsor,4
