h,irf,lower,upper,ci_excludes_zero,effect_sign,band_sign,impulse,response,ci,ci_label,ci_tag,tag,p_used
0,0,0,0,FALSE,cero,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
1,0.004089492472904304,-0.005117097755750097,0.012286464589129922,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
2,0.004792143267250524,-0.003501203793287743,0.012041321327431156,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
3,0.005166686810611096,-0.0035629610694061574,0.012676719880988514,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
4,0.0010964876589849573,-0.0057517002207321385,0.008525099184180205,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
5,-0.011202950527014302,-0.018540585067604202,-0.0017860890059509756,TRUE,negativo,negativo,ga,gw,0.9,90%,90,baseline_mean_winsor,4
6,-0.0041552421749252305,-0.010257646313025186,0.0031396252990593845,FALSE,negativo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
7,9.303828820498343e-4,-0.004186706272627711,0.007089213240010248,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
8,7.882818166521879e-4,-0.004248703979633913,0.006402499131806802,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
9,-0.005440968692567747,-0.008710333170591328,5.281794008007981e-4,FALSE,negativo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
10,-0.002546677933946552,-0.006039555447626594,0.0019117783638357621,FALSE,negativo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
11,-8.675933279516498e-4,-0.003918214344241962,0.0030399504057040073,FALSE,negativo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
12,0.0018474988960376067,-0.0015310598715616735,0.005248479321180618,FALSE,positivo,incluye_cero,ga,gw,0.9,90%,90,baseline_mean_winsor,4
