h,irf,lower,upper,ci_excludes_zero,effect_sign,band_sign,impulse,response,ci,ci_label,ci_tag,tag,p_used
0,0,0,0,FALSE,cero,incluye_cero,v,ga,0.68,68%,68,baseline_mean_winsor,4
1,-0.0024070094879820314,-0.007217931653865172,0.0034682996193225687,FALSE,negativo,incluye_cero,v,ga,0.68,68%,68,baseline_mean_winsor,4
2,0.01225646565062799,0.0048273619407011616,0.01468923332329341,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
3,-0.0173934701567416,-0.020001586806436968,-0.008233372401979048,TRUE,negativo,negativo,v,ga,0.68,68%,68,baseline_mean_winsor,4
4,0.008372022447991262,0.002350234360922015,0.012264520957714012,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
5,9.922644156114184e-4,-0.0037197488434114103,0.006782193664818174,FALSE,positivo,incluye_cero,v,ga,0.68,68%,68,baseline_mean_winsor,4
6,0.011833561842898112,0.00446431299869482,0.0131212646188688,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
7,-0.01075481810031456,-0.012439536448350164,-0.004551838715772564,TRUE,negativo,negativo,v,ga,0.68,68%,68,baseline_mean_winsor,4
8,0.0058624260403039,8.394527697501105e-4,0.008204222233428943,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
9,-0.0040445702357602515,-0.00648161670160282,7.380120903122513e-4,FALSE,negativo,incluye_cero,v,ga,0.68,68%,68,baseline_mean_winsor,4
10,0.009130168139809608,0.0029142217458383783,0.009847591971951007,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
11,-0.006609670273644954,-0.008354987394795343,-0.0017544459650332318,TRUE,negativo,negativo,v,ga,0.68,68%,68,baseline_mean_winsor,4
12,0.0050415501086552884,3.5884799775798173e-4,0.0067684237694751615,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
0,0,0,0,FALSE,cero,incluye_cero,v,ga,0.9,90%,90,baseline_mean_winsor,4
1,-0.0024070094879820314,-0.011638588134052585,0.007105134072317422,FALSE,negativo,incluye_cero,v,ga,0.9,90%,90,baseline_mean_winsor,4
2,0.01225646565062799,0.0021891294235649693,0.0181381225221803,TRUE,positivo,positivo,v,ga,0.9,90%,90,baseline_mean_winsor,4
3,-0.0173934701567416,-0.025005207175855058,-0.004888453539564929,TRUE,negativo,negativo,v,ga,0.9,90%,90,baseline_mean_winsor,4
4,0.008372022447991262,-5.392852026161446e-4,0.015984327769352196,FALSE,positivo,incluye_cero,v,ga,0.9,90%,90,baseline_mean_winsor,4
5,9.922644156114184e-4,-0.007175554668141608,0.01072870755567709,FALSE,positivo,incluye_cero,v,ga,0.9,90%,90,baseline_mean_winsor,4
6,0.011833561842898112,0.0019180277694311977,0.016077404969989433,TRUE,positivo,positivo,v,ga,0.9,90%,90,baseline_mean_winsor,4
7,-0.01075481810031456,-0.0159416470032734,-0.00212426651833469,TRUE,negativo,negativo,v,ga,0.9,90%,90,baseline_mean_winsor,4
8,0.0058624260403039,-0.0015498496678519908,0.011439722497725879,FALSE,positivo,incluye_cero,v,ga,0.9,90%,90,baseline_mean_winsor,4
9,-0.0040445702357602515,-0.008885736558814887,0.003209929389027149,FALSE,negativo,incluye_cero,v,ga,0.9,90%,90,baseline_mean_winsor,4
10,0.009130168139809608,0.001067528496659313,0.012587490044422812,TRUE,positivo,positivo,v,ga,0.9,90%,90,baseline_mean_winsor,4
11,-0.006609670273644954,-0.01087513863604781,-6.297233853971451e-5,TRUE,negativo,negativo,v,ga,0.9,90%,90,baseline_mean_winsor,4
12,0.0050415501086552884,-0.0014230237559615898,0.008932978113707073,FALSE,positivo,incluye_cero,v,ga,0.9,90%,90,baseline_mean_winsor,4
0,0,0,0,FALSE,cero,incluye_cero,v,ga,0.95,95%,95,baseline_mean_winsor,4
1,-0.0024070094879820314,-0.013857843328370884,0.008956724457738761,FALSE,negativo,incluye_cero,v,ga,0.95,95%,95,baseline_mean_winsor,4
2,0.01225646565062799,9.993424856482261e-4,0.02066670304709147,TRUE,positivo,positivo,v,ga,0.95,95%,95,baseline_mean_winsor,4
3,-0.0173934701567416,-0.027443693099674146,-0.0025864254648313247,TRUE,negativo,negativo,v,ga,0.95,95%,95,baseline_mean_winsor,4
4,0.008372022447991262,-0.0019964102906654606,0.01784167398309999,FALSE,positivo,incluye_cero,v,ga,0.95,95%,95,baseline_mean_winsor,4
5,9.922644156114184e-4,-0.008503520205750474,0.012695139609186461,FALSE,positivo,incluye_cero,v,ga,0.95,95%,95,baseline_mean_winsor,4
6,0.011833561842898112,7.162656124208063e-4,0.018029397620303436,TRUE,positivo,positivo,v,ga,0.95,95%,95,baseline_mean_winsor,4
