h,irf,lower,upper,ci_excludes_zero,effect_sign,band_sign,impulse,response,ci,ci_label,ci_tag,tag,p_used
0,0,0,0,FALSE,cero,incluye_cero,v,ga,0.68,68%,68,baseline_mean_winsor,4
1,-0.0024070094879820314,-0.007217931653865172,0.0034682996193225687,FALSE,negativo,incluye_cero,v,ga,0.68,68%,68,baseline_mean_winsor,4
2,0.01225646565062799,0.0048273619407011616,0.01468923332329341,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
3,-0.0173934701567416,-0.020001586806436968,-0.008233372401979048,TRUE,negativo,negativo,v,ga,0.68,68%,68,baseline_mean_winsor,4
4,0.008372022447991262,0.002350234360922015,0.012264520957714012,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
5,9.922644156114184e-4,-0.0037197488434114103,0.006782193664818174,FALSE,positivo,incluye_cero,v,ga,0.68,68%,68,baseline_mean_winsor,4
6,0.011833561842898112,0.00446431299869482,0.0131212646188688,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
7,-0.01075481810031456,-0.012439536448350164,-0.004551838715772564,TRUE,negativo,negativo,v,ga,0.68,68%,68,baseline_mean_winsor,4
8,0.0058624260403039,8.394527697501105e-4,0.008204222233428943,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
9,-0.0040445702357602515,-0.00648161670160282,7.380120903122513e-4,FALSE,negativo,incluye_cero,v,ga,0.68,68%,68,baseline_mean_winsor,4
10,0.009130168139809608,0.0029142217458383783,0.009847591971951007,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
11,-0.006609670273644954,-0.008354987394795343,-0.0017544459650332318,TRUE,negativo,negativo,v,ga,0.68,68%,68,baseline_mean_winsor,4
12,0.0050415501086552884,3.5884799775798173e-4,0.0067684237694751615,TRUE,positivo,positivo,v,ga,0.68,68%,68,baseline_mean_winsor,4
