h,irf,lower,upper,ci_excludes_zero,effect_sign,band_sign,impulse,response,ci,ci_label,ci_tag,tag,p_used
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4
1,0.0020712598932650325,-0.0034887654787836863,0.005776012225001167,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4
2,0.004472916572942152,-7.493084807416559e-4,0.007467776192473302,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4
3,-0.0023617365740849446,-0.006165574279995138,0.0020189364956235295,FALSE,negativo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4
4,0.0026257649118016655,-7.630315786920586e-4,0.00478825422601684,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4
5,0.0013722915594755686,-0.0015105681213616311,0.003381034169676724,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4
6,0.0023692613466796174,-6.708433699235992e-4,0.004331481254836225,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4
7,-3.2788004805455855e-4,-0.0026087448989379927,0.0017864996048363412,FALSE,negativo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4
8,0.004934034878632154,0.0018577640668069832,0.006232591343120359,TRUE,positivo,positivo,v,gw,0.68,68%,68,baseline_mean_winsor,4
9,0.0010203911086865962,-0.001168495709614761,0.002210753125483229,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4
10,0.0014630740259544825,-6.536092879951571e-4,0.0022950886849774886,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4
11,-0.0013012154901347521,-0.0025833936410734402,1.2897479194531723e-4,FALSE,negativo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4
12,0.002348495052960596,3.258346812237237e-4,0.002834692730637557,TRUE,positivo,positivo,v,gw,0.68,68%,68,baseline_mean_winsor,4
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
1,0.0020712598932650325,-0.006367477414926106,0.008824554666767931,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
2,0.004472916572942152,-0.0037791106330401242,0.010050726312151299,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
3,-0.0023617365740849446,-0.008737621140837632,0.004573973342397824,FALSE,negativo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
4,0.0026257649118016655,-0.002701961480304041,0.006676918832287917,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
5,0.0013722915594755686,-0.0031663283303949553,0.0049671168774008114,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
6,0.0023692613466796174,-0.002425353666937423,0.0061383440833029795,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
7,-3.2788004805455855e-4,-0.0041128952362565075,0.0036073947701013905,FALSE,negativo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
8,0.004934034878632154,7.272894146652406e-4,0.008005422062105319,TRUE,positivo,positivo,v,gw,0.9,90%,90,baseline_mean_winsor,4
9,0.0010203911086865962,-0.0021646027653016205,0.0036527248151707985,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
10,0.0014630740259544825,-0.001631144231787405,0.0032874162089008324,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
11,-0.0013012154901347521,-0.0036596885143603533,0.0011051838585853084,FALSE,negativo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
12,0.002348495052960596,-3.0605176609938456e-4,0.003885212884734129,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
1,0.0020712598932650325,-0.008236978722802423,0.010595449807014856,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
2,0.004472916572942152,-0.0049870061959858,0.011144659999381495,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
3,-0.0023617365740849446,-0.009950400161956573,0.005688356868651782,FALSE,negativo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
4,0.0026257649118016655,-0.0038124599089985607,0.007561612538383869,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
5,0.0013722915594755686,-0.004211172508744604,0.005682725071478594,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
6,0.0023692613466796174,-0.0032719243062514815,0.006893417928487448,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
7,-3.2788004805455855e-4,-0.004971999198998261,0.004834619273623669,FALSE,negativo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
8,0.004934034878632154,2.5355776567901787e-4,0.008869612695307113,TRUE,positivo,positivo,v,gw,0.95,95%,95,baseline_mean_winsor,4
9,0.0010203911086865962,-0.0027058563977519147,0.004330581695290002,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
10,0.0014630740259544825,-0.002119313969594438,0.004038402663779363,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
11,-0.0013012154901347521,-0.004356989856528937,0.001616580707118209,FALSE,negativo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
12,0.002348495052960596,-6.696626802371876e-4,0.004509018067288614,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
1,0.0020712598932650325,-0.010950260674732211,0.013979611918228718,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
2,0.004472916572942152,-0.007750125849312937,0.014549744287319052,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
3,-0.0023617365740849446,-0.012763359418921726,0.008172671656075412,FALSE,negativo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
4,0.0026257649118016655,-0.006177613571624583,0.009529603109738282,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
5,0.0013722915594755686,-0.006422306393185633,0.007833866216247563,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
6,0.0023692613466796174,-0.005610700418547221,0.008984967505983934,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
7,-3.2788004805455855e-4,-0.006720976404495984,0.006576734823346253,FALSE,negativo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
8,0.004934034878632154,-7.894675757342252e-4,0.010700591492454609,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
9,0.0010203911086865962,-0.003863313580939376,0.005859069281257329,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
10,0.0014630740259544825,-0.003344820876052646,0.005750262647669507,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
11,-0.0013012154901347521,-0.005572071406364248,0.00244350942624608,FALSE,negativo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
12,0.002348495052960596,-0.001456830700956458,0.005963049092537117,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
1,0.0020712598932650325,-0.013680827179666103,0.01814276130955778,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
2,0.004472916572942152,-0.0095076572557177,0.018397234854190887,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
3,-0.0023617365740849446,-0.014792587188648124,0.009210710247516027,FALSE,negativo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
4,0.0026257649118016655,-0.007801263951529476,0.01246289576682743,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
5,0.0013722915594755686,-0.009841696612477866,0.010488757548462766,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
