h,irf,lower,upper,ci_excludes_zero,effect_sign,band_sign,impulse,response,ci,ci_label,ci_tag,tag,p_used
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
1,0.0020712598932650325,-0.013680827179666103,0.01814276130955778,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
2,0.004472916572942152,-0.0095076572557177,0.018397234854190887,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
3,-0.0023617365740849446,-0.014792587188648124,0.009210710247516027,FALSE,negativo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
4,0.0026257649118016655,-0.007801263951529476,0.01246289576682743,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
5,0.0013722915594755686,-0.009841696612477866,0.010488757548462766,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
6,0.0023692613466796174,-0.007935001683509267,0.011690713645712454,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
7,-3.2788004805455855e-4,-0.007800111599740305,0.009323880716226534,FALSE,negativo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
8,0.004934034878632154,-0.0017812892764007197,0.01286554917821441,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
9,0.0010203911086865962,-0.0050905658352629725,0.007753692375780832,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
10,0.0014630740259544825,-0.004746974760986223,0.006230811840139392,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
11,-0.0013012154901347521,-0.006939889312506876,0.005136616631142147,FALSE,negativo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
12,0.002348495052960596,-0.0028755704787751884,0.007939081381918161,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4
