h,impulse,response,irf_sign,max_ci_robust,max_ci_robust_label,robust_68,robust_90,robust_95,robust_99,robust_99_9,tag,p_used
0,v,ga,cero,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
1,v,ga,negativo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
2,v,ga,positivo,0.95,99.9%,TRUE,TRUE,TRUE,FALSE,FALSE,baseline_mean_winsor,4
3,v,ga,negativo,0.95,99.9%,TRUE,TRUE,TRUE,FALSE,FALSE,baseline_mean_winsor,4
4,v,ga,positivo,0.68,99.9%,TRUE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
5,v,ga,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
6,v,ga,positivo,0.95,99.9%,TRUE,TRUE,TRUE,FALSE,FALSE,baseline_mean_winsor,4
7,v,ga,negativo,0.95,99.9%,TRUE,TRUE,TRUE,FALSE,FALSE,baseline_mean_winsor,4
8,v,ga,positivo,0.68,99.9%,TRUE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
9,v,ga,negativo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
10,v,ga,positivo,0.95,99.9%,TRUE,TRUE,TRUE,FALSE,FALSE,baseline_mean_winsor,4
11,v,ga,negativo,0.9,99.9%,TRUE,TRUE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
12,v,ga,positivo,0.68,99.9%,TRUE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
0,v,gw,cero,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
1,v,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
2,v,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
3,v,gw,negativo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
4,v,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
5,v,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
6,v,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
7,v,gw,negativo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
8,v,gw,positivo,0.95,99.9%,TRUE,TRUE,TRUE,FALSE,FALSE,baseline_mean_winsor,4
9,v,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
10,v,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
11,v,gw,negativo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
12,v,gw,positivo,0.68,99.9%,TRUE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
0,ga,gw,cero,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
1,ga,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
2,ga,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
3,ga,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
4,ga,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
5,ga,gw,negativo,0.95,99.9%,TRUE,TRUE,TRUE,FALSE,FALSE,baseline_mean_winsor,4
6,ga,gw,negativo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
7,ga,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
8,ga,gw,positivo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
9,ga,gw,negativo,0.68,99.9%,TRUE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
10,ga,gw,negativo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
11,ga,gw,negativo,NA,ninguno,FALSE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
12,ga,gw,positivo,0.68,99.9%,TRUE,FALSE,FALSE,FALSE,FALSE,baseline_mean_winsor,4
