h,irf,lower,upper
0,0,0,0
1,0.004351949958913709,-0.007884835843172762,0.015104664566036706
2,0.004889057223357312,-0.005727874458016151,0.014872730176999126
3,0.007360006752120548,-0.004202634906917167,0.017618864131572695
4,0.0016172515324771625,-0.007659265749944711,0.010702091887177422
5,-0.0137049348972478,-0.02432413533944359,-0.0012282390727206154
6,-0.0051758880599194566,-0.013863399262105296,0.003313802775172031
7,1.870901450710471e-5,-0.00646321316358747,0.007956262315732073
8,1.1973866597939438e-4,-0.006930049373844841,0.006991163848727565
9,-0.0053134532747991904,-0.009922173061802077,0.0018576482993513095
10,-0.00189185139331509,-0.006768005926436871,0.0037394210335163166
11,-0.001119991703669482,-0.00547878640078123,0.004121279968593989
12,0.0017729739982717421,-0.0030532581881505716,0.006288485126998305
