h,irf,lower,upper
0,0,0,0
1,3.4137997022675614e-4,-0.011002166722987676,0.01109512927614521
2,-0.002487395100326203,-0.011764936619532589,0.008531680902464743
3,0.009936489607748417,-0.004263761179499823,0.022687885031439172
4,-0.007416838504479271,-0.01803016623878643,0.0050659534427236665
5,-0.004902779127940456,-0.014395574555257626,0.005448521470957132
6,-8.491779722101996e-4,-0.007811719677021626,0.007835512692638779
7,5.61320315929798e-4,-0.00666094140922182,0.007052390357508041
8,-0.0017784823256473295,-0.00758903897972384,0.0043402863376061284
9,-0.0016419836849429906,-0.006033687319545095,0.0037836057214598873
10,4.223694385460586e-5,-0.0044695999298415045,0.004829885572943665
11,0.0010509806086213033,-0.0027616913559959833,0.004966098026825677
12,-3.9948568649993187e-4,-0.00429945727991928,0.002982148711920934
