h,irf,lower,upper,cum_irf,cum_lower,cum_upper
0,0,0,0,0,0,0
1,0.00207125989326503,-0.00823697872280242,0.01059544980701485,0.00207125989326503,-0.00823697872280242,0.01059544980701485
2,0.00447291657294215,-0.0049870061959858,0.01114465999938149,0.006544176466207179,-0.01322398491878822,0.02174010980639634
3,-0.00236173657408494,-0.00995040016195657,0.00568835686865178,0.00418243989212224,-0.023174385080744788,0.02742846667504812
4,0.00262576491180166,-0.00381245990899856,0.00756161253838386,0.0068082048039239,-0.02698684498974335,0.03499007921343198
5,0.00137229155947556,-0.0042111725087446,0.00568272507147859,0.008180496363399459,-0.03119801749848795,0.040672804284910574
6,0.00236926134667961,-0.00327192430625148,0.00689341792848744,0.01054975771007907,-0.03446994180473943,0.04756622221339801
7,-3.2788004805455855e-4,-0.00497199919899826,0.00483461927362366,0.01022187766202451,-0.03944194100373769,0.05240084148702167
8,0.00493403487863215,2.5355776567901787e-4,0.00886961269530711,0.01515591254065666,-0.03918838323805867,0.06127045418232878
9,0.00102039110868659,-0.00270585639775191,0.00433058169529,0.016176303649343252,-0.041894239635810585,0.06560103587761879
10,0.00146307402595448,-0.00211931396959443,0.0040384026637793596,0.017639377675297732,-0.044013553605405015,0.06963943854139815
11,-0.00130121549013475,-0.00435698985652893,0.0016165807071182,0.016338162185162982,-0.048370543461933944,0.07125601924851634
12,0.00234849505296059,-6.696626802371876e-4,0.00450901806728861,0.018686657238123572,-0.04904020614217113,0.07576503731580495
