h,irf,lower,upper
0,0,0,0
1,0.0040894924729043,-0.00705563417660445,0.01426938752950506
2,0.00479214326725052,-0.00485031471708901,0.01398078238830687
3,0.00516668681061109,-0.00507391962527651,0.01440506544775233
4,0.00109648765898495,-0.00731963842935834,0.00976002330949047
5,-0.0112029505270143,-0.02038097058472162,-3.9455721949761e-4
6,-0.00415524217492523,-0.01194416577368018,0.00408130343201952
7,9.303828820498344e-4,-0.00536684982987636,0.00824942127492692
8,7.882818166521879e-4,-0.00533442877482617,0.00746019540675651
9,-0.00544096869256774,-0.00993497607695362,0.00124956409507284
10,-0.00254667793394655,-0.00688945336062055,0.00264146180200679
11,-8.675933279516498e-4,-0.00464504656440175,0.00394851328584777
12,0.0018474988960376,-0.00228369070473506,0.00610902161712381
