h,irf,lower,upper
0,0,0,0
1,-0.00240700948798203,-0.01385784332837088,0.00895672445773876
2,0.01225646565062799,9.99342485648226e-4,0.02066670304709147
3,-0.0173934701567416,-0.02744369309967414,-0.00258642546483132
4,0.00837202244799126,-0.00199641029066546,0.01784167398309999
5,9.922644156114184e-4,-0.00850352020575047,0.01269513960918646
6,0.01183356184289811,7.162656124208063e-4,0.01802939762030343
7,-0.01075481810031456,-0.01762022006764971,-7.955803858911421e-4
8,0.0058624260403039,-0.00281650453201769,0.01268328648805114
9,-0.00404457023576025,-0.00999805872894864,0.00456324681413455
10,0.0091301681398096,2.7192585065530353e-4,0.01395481424625474
11,-0.00660967027364495,-0.01207203162500804,5.753347942196757e-4
12,0.00504155010865528,-0.00249124861544201,0.01025745997777309
