h,irf,lower,upper
0,0,0,0
1,-0.0024070094879820314,-0.013857843328370884,0.008956724457738761
2,0.01225646565062799,9.993424856482261e-4,0.02066670304709147
3,-0.0173934701567416,-0.027443693099674146,-0.0025864254648313247
4,0.008372022447991262,-0.0019964102906654606,0.01784167398309999
5,9.922644156114184e-4,-0.008503520205750474,0.012695139609186461
6,0.011833561842898112,7.162656124208063e-4,0.018029397620303436
7,-0.01075481810031456,-0.017620220067649715,-7.955803858911421e-4
8,0.0058624260403039,-0.0028165045320176964,0.012683286488051141
9,-0.0040445702357602515,-0.009998058728948645,0.00456324681413455
10,0.009130168139809608,2.7192585065530353e-4,0.013954814246254745
11,-0.006609670273644954,-0.012072031625008047,5.753347942196757e-4
12,0.0050415501086552884,-0.0024912486154420174,0.010257459977773095
