h,irf,lower,upper
0,0,0,0
1,-0.0017196927452223353,-0.012842174406051057,0.00958246551744993
2,0.011632957059613544,2.1363823846456777e-4,0.019365424953964185
3,-0.0171067373753674,-0.026721324122112245,-0.003179119967751934
4,0.00723096973578295,-0.002678337027724023,0.016261729208239803
5,0.0013756444504862836,-0.007792083213291337,0.012436731035733147
6,0.011603261809018588,0.0010291971132771558,0.01737458155719491
7,-0.010131411631549037,-0.016511618668990362,-8.995760430318871e-4
8,0.0055179786540968815,-0.0032080315784503224,0.012030566866295354
9,-0.004361669276905121,-0.010021841032308049,0.0038409123354824835
10,0.008760015783581952,3.272546355689504e-4,0.01328847182757633
11,-0.006464320539619365,-0.011672991423328945,6.539888909815481e-4
12,0.005041762476504191,-0.0022152025088861093,0.009672147433896978
