h,irf,lower,upper
0,0,0,0
1,-0.0024425856560286348,-0.015737237180073197,0.011503820944733368
2,0.010856826357415876,-0.002109117895345507,0.020485579300444756
3,-0.015311863653011829,-0.025204439257876573,-9.357109808334052e-4
4,0.008298750403810026,-0.0014887561577812526,0.018259944212851688
5,-3.8293072249639336e-4,-0.009937095212622806,0.012158974779233878
6,0.011421668787785085,-7.397943458871193e-5,0.018118349442236614
7,-0.010053952208912385,-0.017151951188714213,-4.60681402802896e-4
8,0.005831776113404803,-0.0030403013602098997,0.013230179485431154
9,-0.004654094812626604,-0.011026963264748073,0.004613119881947548
10,0.008614818551904165,-3.3902312827884245e-4,0.013875855154713252
11,-0.00711667526631301,-0.013002560992430755,1.496080010816164e-4
12,0.00520182639394884,-0.0025813953782396846,0.011022339014801532
