h,irf,lower,upper
0,0,0,0
1,-1.0940051953598783e-4,-0.009929625113697547,0.00888158120392013
2,0.003363757844169403,-0.006458329618358277,0.010667032601982578
3,-0.0035920445915715356,-0.011244030796345474,0.005637034281405069
4,0.0039002169079462613,-0.0031545835491181414,0.009137653545932461
5,0.0018835974600990985,-0.004078660565876438,0.006625767568532264
6,0.0020663110462447102,-0.004084103246268662,0.007271304759689816
7,-5.969216022304806e-4,-0.005814810302596922,0.005108232196097352
8,0.005555255352394749,2.528140025343777e-4,0.009711923049101056
9,9.761623977912381e-4,-0.003148399312255748,0.004485744023205588
10,0.001734215267865916,-0.002294783251610258,0.00447225547479897
11,-0.0016656341825631103,-0.00465735219711874,0.0013555564957839
12,0.0022163816837531196,-0.0010685554010991267,0.004515936894208374
