h,irf,lower,upper,impulse,response,model,seasonal_control,tag,p_used,ci
0,0,0,0,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
1,0.004089492472904304,-0.007055634176604455,0.014269387529505066,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
2,0.004792143267250524,-0.004850314717089012,0.013980782388306877,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
3,0.005166686810611096,-0.005073919625276514,0.014405065447752339,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
4,0.0010964876589849573,-0.007319638429358347,0.009760023309490471,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
5,-0.011202950527014302,-0.020380970584721627,-3.9455721949761e-4,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
6,-0.0041552421749252305,-0.011944165773680187,0.0040813034320195275,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
7,9.303828820498343e-4,-0.005366849829876365,0.008249421274926921,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
8,7.882818166521879e-4,-0.005334428774826176,0.007460195406756518,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
9,-0.005440968692567747,-0.009934976076953622,0.0012495640950728483,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
10,-0.002546677933946552,-0.006889453360620558,0.002641461802006794,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
11,-8.675933279516498e-4,-0.004645046564401755,0.003948513285847773,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
12,0.0018474988960376067,-0.00228369070473506,0.0061090216171238165,ga,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
