model,impulse,response,h,irf,lower,upper,exclude_zero
no_seasonal_control,v,ga,0,0,0,0,FALSE
no_seasonal_control,v,ga,1,-0.0024070094879820314,-0.013857843328370884,0.008956724457738761,FALSE
no_seasonal_control,v,ga,2,0.01225646565062799,9.993424856482261e-4,0.02066670304709147,TRUE
no_seasonal_control,v,ga,3,-0.0173934701567416,-0.027443693099674146,-0.0025864254648313247,TRUE
no_seasonal_control,v,ga,4,0.008372022447991262,-0.0019964102906654606,0.01784167398309999,FALSE
no_seasonal_control,v,ga,5,9.922644156114184e-4,-0.008503520205750474,0.012695139609186461,FALSE
no_seasonal_control,v,ga,6,0.011833561842898112,7.162656124208063e-4,0.018029397620303436,TRUE
no_seasonal_control,v,ga,7,-0.01075481810031456,-0.017620220067649715,-7.955803858911421e-4,TRUE
no_seasonal_control,v,ga,8,0.0058624260403039,-0.0028165045320176964,0.012683286488051141,FALSE
no_seasonal_control,v,ga,9,-0.0040445702357602515,-0.009998058728948645,0.00456324681413455,FALSE
no_seasonal_control,v,ga,10,0.009130168139809608,2.7192585065530353e-4,0.013954814246254745,TRUE
no_seasonal_control,v,ga,11,-0.006609670273644954,-0.012072031625008047,5.753347942196757e-4,FALSE
no_seasonal_control,v,ga,12,0.0050415501086552884,-0.0024912486154420174,0.010257459977773095,FALSE
with_seasonal_control,v,ga,0,0,0,0,FALSE
with_seasonal_control,v,ga,1,-0.0030092428101020064,-0.015488673887398857,0.009766268549458876,FALSE
with_seasonal_control,v,ga,2,0.003052135225852165,-0.00882794227397926,0.013054659340332911,FALSE
with_seasonal_control,v,ga,3,-0.0025977946605944963,-0.013583396096548666,0.008979564760326658,FALSE
with_seasonal_control,v,ga,4,0.002092451912367427,-0.0051866252001178965,0.00955310774475089,FALSE
with_seasonal_control,v,ga,5,0.0042538489848123594,-0.0023177419461732273,0.01032241843147103,FALSE
with_seasonal_control,v,ga,6,7.90751527376842e-5,-0.005524372520443559,0.005634521900331824,FALSE
with_seasonal_control,v,ga,7,6.499588307312324e-4,-0.0036048874344625456,0.0047408788662566485,FALSE
with_seasonal_control,v,ga,8,9.076524186332094e-4,-0.0029789661771503443,0.005201900027645335,FALSE
with_seasonal_control,v,ga,9,6.877303665506908e-4,-0.003155296409250186,0.003940000724365216,FALSE
with_seasonal_control,v,ga,10,5.300976991649569e-4,-0.0023375614489435804,0.003987227310568606,FALSE
with_seasonal_control,v,ga,11,1.8114680465218346e-4,-0.00300732754126924,0.003071955554989957,FALSE
with_seasonal_control,v,ga,12,-2.4360277018713473e-4,-0.0034282673659668077,0.0017398061964864588,FALSE
no_seasonal_control,v,gw,0,0,0,0,FALSE
no_seasonal_control,v,gw,1,0.0020712598932650325,-0.008236978722802423,0.010595449807014856,FALSE
no_seasonal_control,v,gw,2,0.004472916572942152,-0.0049870061959858,0.011144659999381495,FALSE
no_seasonal_control,v,gw,3,-0.0023617365740849446,-0.009950400161956573,0.005688356868651782,FALSE
no_seasonal_control,v,gw,4,0.0026257649118016655,-0.0038124599089985607,0.007561612538383869,FALSE
no_seasonal_control,v,gw,5,0.0013722915594755686,-0.004211172508744604,0.005682725071478594,FALSE
no_seasonal_control,v,gw,6,0.0023692613466796174,-0.0032719243062514815,0.006893417928487448,FALSE
no_seasonal_control,v,gw,7,-3.2788004805455855e-4,-0.004971999198998261,0.004834619273623669,FALSE
