h,irf,lower,upper,impulse,response,model,seasonal_control,tag,p_used,ci
0,0,0,0,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
1,0.0020712598932650325,-0.008236978722802423,0.010595449807014856,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
2,0.004472916572942152,-0.0049870061959858,0.011144659999381495,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
3,-0.0023617365740849446,-0.009950400161956573,0.005688356868651782,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
4,0.0026257649118016655,-0.0038124599089985607,0.007561612538383869,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
5,0.0013722915594755686,-0.004211172508744604,0.005682725071478594,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
6,0.0023692613466796174,-0.0032719243062514815,0.006893417928487448,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
7,-3.2788004805455855e-4,-0.004971999198998261,0.004834619273623669,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
8,0.004934034878632154,2.5355776567901787e-4,0.008869612695307113,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
9,0.0010203911086865962,-0.0027058563977519147,0.004330581695290002,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
10,0.0014630740259544825,-0.002119313969594438,0.004038402663779363,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
11,-0.0013012154901347521,-0.004356989856528937,0.001616580707118209,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
12,0.002348495052960596,-6.696626802371876e-4,0.004509018067288614,v,gw,no_seasonal_control,FALSE,baseline_mean_winsor,4,0.95
