h,irf,lower,upper,impulse,response,model,seasonal_control,tag,p_used,ci
0,0,0,0,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
1,4.119346654004599e-4,-0.010149349340984878,0.010795202812778577,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
2,0.004701389675384292,-0.004919234189111932,0.012851751255597739,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
3,-0.0034900566771401075,-0.011100985243848983,0.005351592590160296,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
4,0.0021673657921500397,-0.003671632999000876,0.006933331493172919,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
5,0.0021311124920154116,-0.003266771749347119,0.006427694791897277,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
6,0.002104250240010212,-0.0036027685764655434,0.006811082733984606,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
7,0.002272769844159549,-0.0025375987128143764,0.006796601909204054,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
8,0.002599572256686242,-0.0013832790448002027,0.006080950108664427,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
9,0.0014017054939957701,-0.0020387966642021332,0.004008172911520297,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
10,9.181634032266766e-4,-0.0020196619937775957,0.0032580865760311836,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
11,8.608631904801134e-4,-0.0017991223993135636,0.002882217578654342,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
12,5.986556994524337e-4,-0.0018047995459367818,0.002474868894020876,v,gw,with_seasonal_control,TRUE,baseline_mean_winsor,4,0.95
