year,trimestre,quarter,imacec_indice,L_indice,a_prod,u,v,w_real_mean_winsor,w_real_mean_nowinsor,w_real_median
2008,1,2008Q1,72.92910265111408,84.74315138267902,0.8605899292296125,9.158168366326734,0.9084183163367326,454682.48806743807,459360.9360303465,278044.3464135026
2008,2,2008Q2,74.55541111468142,84.84426136258654,0.8787325143425416,8.588211464452096,0.914117885355479,449314.6963561947,456349.20114698727,271722.006675697
2008,3,2008Q3,70.7274229437676,85.11917345630438,0.8309223418396476,8.34172879306871,0.9165827120693129,462032.168879095,474734.9515339494,284788.7930669882
2008,4,2008Q4,75.94984468748977,85.03614553799919,0.8931477809462904,10.383960658218271,0.8961603934178173,425686.7008133127,429643.7243007359,271728.8028813538
2009,1,2009Q1,71.28138553844461,80.95959874480012,0.8804562602037708,12.917903066271018,0.8708209693372898,439203.93004646327,445770.9183461301,263256.849639393
2009,2,2009Q2,72.45001696420366,80.62983042758789,0.8985510273306309,12.626966739693287,0.8737303326030671,451707.3910837405,460785.19263534865,289780.7854665535
2009,3,2009Q3,70.21998324605458,82.31154206621969,0.8531000815118075,11.115561786501102,0.888844382134989,477807.0293621112,495205.11593115004,329982.49786997365
2009,4,2009Q4,76.9215573968745,85.04144473255131,0.9045184690686615,11.135199054000788,0.8886480094599921,470833.51389379986,485612.21131675894,316396.47139540967
2010,1,2010Q1,72.65898811805836,83.42950168483337,0.8709028179568645,10.811346954969252,0.8918865304503074,460835.50124664156,464481.76856537064,315210.7842899794
2010,2,2010Q2,77.09589247518082,85.11379712968898,0.905797826851842,9.52662721893491,0.9047337278106509,425912.39288463653,428757.4807659864,299519.3277419004
2010,3,2010Q3,75.48644435341245,85.52783554911022,0.8825950507080004,8.448480063166206,0.9155151993683379,419669.78696972254,424205.29536328895,309965.42201966763
2010,4,2010Q4,82.65248774995999,87.88786515186437,0.9404311688211108,7.95499407816818,0.9204500592183182,442112.4387813557,451104.03028356476,308674.41966198967
2011,1,2011Q1,79.02862650125557,87.67178300165031,0.9014146147771166,9.100020044097013,0.9089997995590299,472894.2989593273,476244.04772748053,319036.5560636313
2011,2,2011Q2,81.91965675781566,88.8808614002645,0.9216793746957529,8.603612351912993,0.9139638764808701,474148.6158241576,482843.66794923454,315152.67979033844
2011,3,2011Q3,78.88566836508126,88.79535766462055,0.8883985654186098,7.6022231044065105,0.9239777689559349,460644.12093677255,468268.2571322253,313122.3470029168
2011,4,2011Q4,87.22285418242012,90.63408475249489,0.962362608069688,6.439317953861584,0.9356068204613841,466276.2780298151,489257.69969520136,309131.3550912649
2012,1,2012Q1,83.78697061670843,89.9710975452811,0.931265405254612,8.407693833035891,0.9159230616696411,476949.013788807,484588.17252123955,312455.1391490985
2012,2,2012Q2,87.24178081889015,91.50027201626982,0.953459250955861,7.485566394584909,0.9251443360541509,494299.14292257,496951.17897197284,330140.7532393293
2012,3,2012Q3,84.11472806673304,91.95386164959905,0.914749272708764,7.083753784056508,0.9291624621594349,514052.2566430383,523445.98031002335,341675.12572808634
2012,4,2012Q4,92.04478475547899,94.40099268876723,0.975040432667308,5.511022044088176,0.9448897795591182,519968.8391150773,552064.9079014908,363051.92696009355
2013,1,2013Q1,87.25409997847584,91.2907374870134,0.9557826169482769,6.773071413955392,0.9322692858604461,520431.69064944505,527468.4169225985,362271.26383834647
2013,2,2013Q2,90.23934830533125,92.4990697028537,0.9755703337905814,6.555349412492269,0.9344465058750773,578293.6412043897,588146.2508477281,362210.37101179984
2013,3,2013Q3,86.57830209127312,93.65019805896101,0.9244860543355656,6.139646869983949,0.9386035313001605,573173.6266750394,584507.2356774108,358528.27360854123
2013,4,2013Q4,94.60326623900538,95.7963702919492,0.9875454148282684,6.64301202444313,0.9335698797555687,569564.4366837746,576542.3223987487,378524.3995881927
2014,1,2014Q1,89.3872125287739,93.85639335336337,0.9523827768688778,6.556372549019608,0.9344362745098039,577229.8024438694,581361.6702546962,373624.14679401263
2014,2,2014Q2,91.77134405960629,93.73024060273751,0.9791006986588915,7.248730964467005,0.9275126903553299,565042.701430715,576698.0601757896,379269.91882997355
2014,3,2014Q3,87.70948774714955,97.36600854906654,0.9008224641657084,6.303955029110621,0.9369604497088938,554901.2026807728,560781.4825087527,398756.47583489085
2014,4,2014Q4,96.23675806796513,98.10269992679711,0.980979709424671,6.8800954464108175,0.9311990455358918,589655.9264561345,597666.5154981153,392518.863057059
2015,1,2015Q1,91.61119749530498,96.27406966579522,0.9515666867862043,7.172215371968763,0.9282778462803124,601214.4820727074,611902.1867939174,391526.2496203272
2015,2,2015Q2,93.65041162853174,95.37428830517656,0.9819251424332647,6.886416124291413,0.9311358387570858,586662.6453681529,592600.9862310383,386135.2486384575
2015,3,2015Q3,89.70009260952492,98.27770973488917,0.9127206245596996,7.553816046966732,0.9244618395303327,565068.2742314897,569003.5809795831,380680.3846972885
2015,4,2015Q4,97.9999460819059,98.42688454004865,0.9956623796421289,6.819529551294722,0.9318047044870528,597771.6053297456,602220.8125944161,393215.0057752169
2016,1,2016Q1,94.31742907950677,93.79917250459404,1.0055251721425085,9.45010183299389,0.9054989816700612,565131.8826853278,567582.8743254298,384817.9424542141
2016,2,2016Q2,94.8329253522931,95.87853010886458,0.9890944849135228,8.29079027976312,0.9170920972023688,585888.7470744364,589933.8785114519,423450.3516140861
2016,3,2016Q3,91.48890675410468,97.8666737609608,0.9348320857165964,7.600565999595714,0.9239943400040429,604075.0328166122,619900.4380653228,420375.41503758304
2016,4,2016Q4,98.86054883464193,100.47964579996427,0.9838863189411948,6.825273010920437,0.9317472698907956,613556.2654557355,627391.1996922224,419067.43956751964
2017,1,2017Q1,93.96764278656377,96.91492706459894,0.9695889542787289,8.563425370148058,0.9143657462985194,634937.9487239154,641193.9659071607,416114.51435984985
2017,2,2017Q2,95.4746330357918,96.38411291341994,0.9905640063477565,8.17490494296578,0.9182509505703422,659439.5870569724,666062.8898372983,413926.0416475204
2017,3,2017Q3,93.18655676326402,101.05681705253176,0.9221204415613389,7.6,0.924,625322.6839046311,635028.5619331393,413484.30264647584
2017,4,2017Q4,102.02342879792832,99.08080203572285,1.0296992626396435,8.323424494649228,0.9167657550535078,641173.4558359827,653070.6870163195,410773.66972889326
2018,1,2018Q1,98.2195738288212,98.95322863238573,0.9925858426884676,7.970719804798699,0.920292801952013,677214.1467638096,692120.5802858026,428370.09093487216
2018,2,2018Q2,100.72333243447528,99.54381704133127,1.011849207999069,7.360300250208507,0.9263969974979149,685115.6048210711,688747.1364605636,455823.1484191066
2018,3,2018Q3,95.4275681975101,99.97165430294763,0.9545462547647013,7.62953896368829,0.9237046103631171,664552.5041597584,676026.7080172977,452448.72029160464
2018,4,2018Q4,105.62952553919342,101.53130002333539,1.0403641587856762,7.737743650324867,0.9226225634967513,681127.586148373,689383.9783341298,449688.67094492266
2019,1,2019Q1,99.44094422884454,98.85198004656014,1.0059580413261018,8.162843562719571,0.9183715643728043,650839.6068127828,655912.3421974571,448649.9455785046
2019,2,2019Q2,101.93115539161433,99.6738725844384,1.0226466851206537,8.922558922558922,0.9107744107744108,680262.1441436618,682782.7790989825,444144.6356757246
2019,3,2019Q3,98.4326380664929,98.82714369802835,0.9960081247239029,9.178250204415372,0.9082174979558463,664307.420339773,665176.5900375311,441553.7273486515
2019,4,2019Q4,102.73273244841934,101.0398906890086,1.016754192308275,9.098164405426976,0.9090183559457302,675663.0407745193,676987.9173316456,437300.4250826538
2020,1,2020Q1,99.22117848113052,74.25514370417687,1.3362196008456355,18.87566680344686,0.8112433319655314,680825.6527812271,682891.082829619,461499.69001267815
2020,2,2020Q2,86.72062309330683,63.608772822512826,1.3633437534675108,19.451219512195124,0.8054878048780487,685708.0968733195,694857.4978441907,450662.89422122866
2020,3,2020Q3,89.1158527622149,81.27373007282841,1.0964902519222295,15.598326359832637,0.8440167364016736,688103.6650655081,694394.5775675509,430041.05962828145
2020,4,2020Q4,102.75002779175036,95.89083246614027,1.0715312939642287,12.421336529817202,0.8757866347018279,731501.3463679047,744966.4107544625,472260.90271360526
2021,1,2021Q1,99.73404492917824,88.30716329360428,1.1293992605965812,12.59247346413638,0.8740752653586362,754037.3532189814,767987.8293302567,466966.59214316827
2021,2,2021Q2,102.61541343409336,86.92557212454626,1.1804974178032077,11.122294916960241,0.8887770508303976,701173.8473444926,711553.5491344043,462815.1102614522
2021,3,2021Q3,103.54152067125038,96.86531574947111,1.0689225536521902,8.19150628280579,0.9180849371719421,684830.4778180089,692524.2769098178,455561.11120399047
2021,4,2021Q4,114.66534192368074,101.62920058005275,1.1282716115961131,8.20710973724884,0.9179289026275116,672907.4154633738,679069.3305912437,442881.71942303155
2022,1,2022Q1,105.81322180851645,99.60186760130392,1.0623618247006767,9.95123713202095,0.9004876286797905,623619.776470901,632786.1854308003,431140.39966446813
2022,2,2022Q2,107.2292771604705,101.14368111402192,1.060167832329418,8.875872944356837,0.9112412705564317,607093.6015568087,611291.5245878394,415009.8591436569
2022,3,2022Q3,104.2871690727424,104.20816154148262,1.0007581702823567,8.80281690140845,0.9119718309859155,619666.3581633432,626851.63831391,440938.54856798996
2022,4,2022Q4,112.28540899434066,109.68616516137845,1.0236970982542601,8.02532162548499,0.9197467837451501,559117.9338136825,563576.6775394566,392012.74837006454
